,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0,0,0,0,0,0,0
1,1,758.308234,110,111,112,111,110
2,2,773.228018,112,110,110,112,114
3,3,788.236957,111,110,107,109,111
4,4,803.248287,110,109,111,109,109
5,5,818.254944,112,108,110,109,108
6,6,833.23353,108,108,107,107,108
7,7,848.240189,109,108,106,106,107
8,8,863.241603,107,108,108,108,108
9,9,878.241373,109,106,107,108,109
10,10,893.255942,107,106,106,107,109
11,11,908.254503,107,103,106,109,106
12,12,923.236793,107,110,107,107,104
13,13,938.225852,105,104,105,105,106
14,14,953.241097,106,107,105,106,104
15,15,968.238394,105,105,106,103,106
16,16,983.263776,105,102,105,106,104
17,17,998.263435,104,105,103,107,107
18,18,1013.247045,103,107,104,104,104
19,19,1028.241425,105,104,103,107,105
20,20,1043.253263,105,107,104,105,106
21,21,1058.2745,105,104,106,106,103
22,22,1073.221752,101,103,103,106,105
23,23,1088.237271,102,104,101,104,101
24,24,1103.240354,104,105,105,101,103
25,25,1118.234774,103,105,107,106,105
26,26,1133.258163,105,106,101,102,103
27,27,1148.250265,104,101,102,104,107
28,28,1163.245752,102,101,103,102,102
29,29,1178.34521,101,102,104,102,102
30,30,1193.231731,99,99,102,103,103
31,31,1208.25395,99,99,102,103,103
32,32,1223.244913,91,86,90,87,86
33,33,1238.273498,98,96,95,95,94
34,34,1253.29722,93,97,98,93,96
35,35,1268.241262,97,97,93,95,96
36,36,1283.258547,94,97,95,97,96
37,37,1298.23691,94,95,96,95,99
38,38,1313.266788,92,95,96,94,94
39,39,1328.233441,96,96,96,95,96
40,40,1343.263672,94,97,95,96,97
41,41,1358.280706,96,94,95,95,94
42,42,1373.231679,97,96,95,95,95
43,43,1388.235106,94,97,94,94,97
44,44,1403.265291,94,96,94,96,94
45,45,1418.245773,95,94,94,96,93
46,46,1433.281179,96,94,94,97,94
47,47,1448.263262,94,97,96,96,96
48,48,1463.272628,95,93,95,97,96
49,49,1478.234978,95,95,94,96,95
