,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3013.520838,30.0,217.0,73.0,70.0,71.0,71.0,71.0,70.0,70.0,71.0,69.0,70.0,69.0
2,3014.022986,30.0,217.0,73.0,71.0,71.0,70.0,71.0,71.0,70.0,71.0,69.0,70.0,69.0
3,3015.023369,30.0,217.0,74.0,69.0,71.0,69.0,71.0,70.0,70.0,71.0,69.0,70.0,69.0
4,3016.023813,30.0,217.0,73.0,69.0,71.0,70.0,71.0,70.0,69.0,71.0,69.0,70.0,70.0
5,3017.023538,30.0,217.0,75.0,70.0,70.0,70.0,71.0,70.0,70.0,71.0,69.0,69.0,69.0
6,3018.023452,30.0,222.0,74.0,70.0,70.0,70.0,71.0,70.0,70.0,71.0,70.0,70.0,70.0
7,3019.023841,30.0,217.0,74.0,70.0,71.0,71.0,71.0,71.0,70.0,71.0,70.0,70.0,70.0
8,3020.023757,30.0,217.0,74.0,70.0,71.0,70.0,71.0,71.0,71.0,72.0,70.0,70.0,70.0
9,3021.023473,30.0,217.0,75.0,69.0,71.0,71.0,71.0,70.0,70.0,71.0,70.0,70.0,69.0
10,3022.023701,37.0,217.0,75.0,70.0,71.0,71.0,71.0,71.0,70.0,71.0,69.0,69.0,69.0
11,3023.024071,37.0,217.0,74.0,70.0,70.0,70.0,71.0,70.0,69.0,72.0,69.0,70.0,69.0
12,3024.023768,37.0,216.0,74.0,69.0,70.0,70.0,71.0,70.0,70.0,71.0,69.0,70.0,69.0
13,3025.023684,37.0,217.0,75.0,70.0,71.0,70.0,71.0,70.0,69.0,72.0,69.0,70.0,69.0
14,3026.023456,37.0,217.0,75.0,69.0,70.0,70.0,71.0,70.0,70.0,71.0,69.0,70.0,69.0
15,3027.023544,37.0,217.0,74.0,70.0,71.0,71.0,71.0,70.0,70.0,72.0,70.0,70.0,69.0
16,3028.023557,37.0,217.0,74.0,70.0,70.0,70.0,71.0,71.0,70.0,71.0,70.0,70.0,70.0
17,3029.023229,37.0,217.0,74.0,70.0,71.0,70.0,71.0,70.0,70.0,71.0,69.0,70.0,69.0
18,3030.023899,37.0,217.0,75.0,69.0,71.0,70.0,71.0,70.0,69.0,71.0,69.0,70.0,69.0
19,3031.024202,37.0,217.0,74.0,69.0,71.0,70.0,71.0,70.0,69.0,71.0,69.0,70.0,70.0
20,3032.02347,40.0,217.0,75.0,70.0,71.0,71.0,71.0,70.0,69.0,71.0,69.0,70.0,69.0
21,3033.023239,40.0,217.0,74.0,69.0,70.0,71.0,71.0,70.0,69.0,71.0,69.0,70.0,69.0
22,3034.024358,40.0,217.0,75.0,70.0,71.0,71.0,71.0,70.0,70.0,71.0,69.0,70.0,70.0
23,3035.025101,40.0,216.0,74.0,70.0,71.0,70.0,71.0,70.0,70.0,71.0,69.0,70.0,70.0
24,3036.024024,40.0,216.0,75.0,70.0,71.0,70.0,71.0,71.0,70.0,71.0,69.0,70.0,70.0
25,3037.024519,40.0,217.0,75.0,70.0,70.0,70.0,71.0,70.0,70.0,71.0,69.0,69.0,69.0
26,3038.023793,40.0,217.0,75.0,70.0,71.0,71.0,71.0,71.0,70.0,72.0,69.0,69.0,70.0
27,3039.022752,40.0,217.0,75.0,70.0,71.0,71.0,72.0,71.0,71.0,72.0,71.0,71.0,70.0
28,3040.023486,40.0,217.0,75.0,70.0,70.0,70.0,71.0,70.0,70.0,71.0,69.0,70.0,69.0
29,3041.024864,40.0,217.0,74.0,70.0,71.0,70.0,71.0,70.0,70.0,71.0,69.0,70.0,69.0
30,3042.023852,42.0,217.0,75.0,70.0,71.0,70.0,71.0,71.0,70.0,71.0,69.0,70.0,69.0
31,3043.023308,42.0,216.0,75.0,69.0,71.0,70.0,71.0,70.0,70.0,71.0,69.0,70.0,69.0
32,3044.023257,42.0,217.0,75.0,70.0,70.0,70.0,71.0,70.0,69.0,71.0,70.0,70.0,70.0
33,3045.023256,42.0,217.0,74.0,69.0,70.0,70.0,71.0,70.0,70.0,71.0,69.0,70.0,69.0
34,3046.023968,42.0,216.0,75.0,69.0,70.0,70.0,71.0,70.0,69.0,71.0,69.0,69.0,69.0
35,3047.024507,42.0,217.0,75.0,70.0,71.0,70.0,71.0,70.0,70.0,72.0,69.0,70.0,69.0
36,3048.022583,42.0,217.0,75.0,70.0,71.0,70.0,71.0,70.0,69.0,71.0,69.0,70.0,69.0
37,3049.023327,42.0,217.0,75.0,69.0,71.0,70.0,71.0,70.0,70.0,71.0,69.0,70.0,69.0
38,3050.02348,42.0,217.0,75.0,70.0,71.0,70.0,71.0,70.0,69.0,71.0,69.0,70.0,69.0
