,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0,0,0,0,0,0,0
1,1,1443.862375,112,114,110,109,110
2,2,1465.850674,112,109,111,109,109
3,3,1487.890379,108,107,111,109,109
4,4,1509.864857,107,105,108,108,104
5,5,1531.852197,104,106,105,103,105
6,6,1553.889099,101,100,104,100,105
7,7,1575.904644,101,100,101,102,100
8,8,1597.884642,98,99,98,96,97
9,9,1619.879676,94,96,97,96,96
10,10,1641.864842,92,96,95,93,96
11,11,1663.846161,91,92,90,91,92
12,12,1685.889798,91,89,91,91,89
13,13,1707.849434,88,88,89,88,89
14,14,1729.871932,87,90,87,84,87
15,15,1751.890687,87,85,85,85,85
16,16,1773.876762,84,83,85,82,83
17,17,1795.899525,81,85,82,83,83
18,18,1817.845037,84,82,83,82,85
19,19,1839.853512,80,82,82,82,83
20,20,1861.863523,81,81,81,85,84
21,21,1883.889651,80,82,83,79,80
22,22,1905.844614,79,81,78,82,82
23,23,1927.866625,79,81,80,79,81
24,24,1949.853898,80,80,81,79,81
25,25,1971.859105,80,79,82,81,80
26,26,1993.848459,77,77,79,80,79
27,27,2015.862673,77,78,78,80,78
28,28,2037.865504,79,79,80,81,78
29,29,2059.867593,80,79,79,79,78
30,30,2081.862417,80,79,80,76,79
31,31,2103.87478,79,78,78,79,80
32,32,2125.874609,81,78,78,79,80
33,33,2147.899365,77,78,79,79,78
34,34,2169.845575,78,76,77,78,75
35,35,2191.866221,78,77,78,77,77
36,36,2213.871336,77,79,77,76,76
37,37,2235.847641,77,78,76,77,80
38,38,2257.845317,76,76,78,76,76
39,39,2279.877082,77,76,75,75,73
40,40,2081.862417,80,79,80,76,79
41,41,2103.87478,79,78,78,79,80
42,42,2125.874609,81,78,78,79,80
43,43,2147.899365,77,78,79,79,78
44,44,2169.845575,78,76,77,78,75
45,45,2191.866221,78,77,78,77,77
46,46,2213.871336,77,79,77,76,76
47,47,2235.847641,77,78,76,77,80
48,48,2257.845317,76,76,78,76,76
49,49,2279.877082,77,76,75,75,73
50,50,2279.877082,77,76,75,75,73
