,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0,0,0,0,0,0,0
3,1,3194.395451,98,94,96,96,95
4,2,3209.422219,92,91,93,91,92
5,3,3223.367625,86,90,88,88,87
6,4,3237.368605,85,85,83,82,83
7,5,3252.399658,81,82,80,82,84
8,6,3266.37083,81,78,80,80,80
9,7,3281.411316,77,75,76,78,76
10,8,3296.396015,75,76,75,74,76
11,9,3311.405477,74,74,74,75,73
12,10,3326.417393,72,73,72,74,72
13,11,3341.398732,69,71,70,72,70
14,12,3356.380221,69,70,71,70,69
15,13,3371.408985,69,70,70,70,70
16,14,3386.411257,67,66,67,69,69
17,15,3401.389365,68,68,67,69,69
18,16,3416.373284,70,66,69,68,72
19,17,3431.406252,67,69,69,67,65
20,18,3446.403855,67,69,68,67,66
21,19,3461.397917,69,66,67,68,68
22,20,3476.389167,69,68,69,66,65
23,21,3491.374747,67,65,68,64,67
24,22,3506.417684,65,68,67,65,67
25,23,3520.374513,65,65,66,67,67
26,24,3534.418752,66,65,66,67,67
27,25,3549.388995,66,67,65,66,65
28,26,3564.387991,64,66,64,64,64
29,27,3579.377676,67,65,65,68,66
30,28,3594.422671,67,64,67,67,66
31,29,9.396813,67,65,65,65,65
32,30,23.377103,65,66,66,67,66
33,31,38.381578,67,66,66,65,67
34,32,53.42876,66,65,66,66,69
35,33,68.412303,65,65,68,67,66
36,34,83.409291,66,67,65,66,66
37,35,98.399389,66,64,66,67,67
38,36,113.371694,67,64,66,70,65
39,37,128.379661,65,65,64,64,66
40,38,143.400785,63,66,64,66,65
41,39,158.41609,67,64,64,64,65
42,40,173.392927,64,64,65,65,65
43,41,188.383497,65,67,66,66,64
44,42,203.406092,64,67,65,65,64
45,43,217.368583,66,62,65,66,66
46,44,232.431108,64,65,64,67,65
47,45,247.382756,66,63,64,64,63
48,46,262.377761,63,63,63,63,65
49,47,276.369753,63,64,63,63,62
50,48,291.403077,64,64,63,62,65
51,49,306.376594,63,63,63,62,62
52,50,321.397448,64,63,64,63,61
53,51,336.436858,64,60,64,64,66
54,52,351.403061,63,63,62,64,62
55,53,365.414794,63,63,64,64,64
56,54,380.406278,60,63,60,63,61
57,55,395.426374,63,64,65,63,63
58,56,410.411021,62,62,63,63,64
59,57,425.409958,62,61,60,63,62
60,58,440.422009,62,60,63,62,62
61,59,455.419504,60,60,63,59,62
62,60,470.420069,60,61,59,62,61
63,61,485.384666,62,62,62,63,61
64,62,500.417169,61,61,62,62,64
65,63,515.414405,63,64,61,58,61
66,64,530.434819,62,62,61,61,61
67,65,545.388234,63,62,61,61,61
68,66,560.420675,62,60,61,61,62
69,67,575.407343,61,62,62,62,59
