,0,1,2,3,4,5,6,7,8,9,10,11,,0.098039216,9.803921569,,
62,63,68,54,61,64,72,65,67,75,64,56,61,,1.411764706,56.47058824,50.78125,23.92578125
63,64,67,57,52,60,71,66,67,74,63,56,63,,1.392156863,55.68627451,48.33984375,1.953125
64,62,68,54,56,63,71,63,65,72,63,56,61,,1.392156863,55.68627451,48.33984375,11.71875
65,63,67,57,63,62,69,64,67,72,61,56,56,,1.352941176,54.11764706,43.45703125,28.80859375
66,63,67,58,55,63,69,66,65,71,62,57,62,,1.352941176,54.11764706,43.45703125,9.27734375
67,62,67,57,61,64,71,65,65,71,60,57,58,,1.392156863,55.68627451,48.33984375,23.92578125
68,62,67,53,60,64,69,64,65,70,60,56,62,,1.352941176,54.11764706,43.45703125,21.484375
69,62,68,57,59,66,69,66,64,70,60,57,63,,1.352941176,54.11764706,43.45703125,19.04296875
70,62,68,54,55,64,68,67,65,70,66,57,62,,1.333333333,53.33333333,41.015625,9.27734375
71,62,67,59,59,61,68,65,67,68,60,57,59,,1.333333333,53.33333333,41.015625,19.04296875
72,61,68,60,56,63,68,65,67,68,60,57,64,,1.333333333,53.33333333,41.015625,11.71875
73,60,67,59,56,61,69,65,67,68,60,56,59,,1.352941176,54.11764706,43.45703125,11.71875
74,62,67,58,53,63,70,65,67,67,64,57,62,,1.37254902,54.90196078,45.8984375,4.39453125
75,61,67,58,58,62,67,64,67,68,64,56,59,,1.31372549,52.54901961,38.57421875,16.6015625
76,61,67,57,55,63,68,68,65,67,59,56,63,,1.333333333,53.33333333,41.015625,9.27734375
77,61,67,61,57,65,68,67,65,67,62,56,62,,1.333333333,53.33333333,41.015625,14.16015625
78,61,67,61,62,64,66,68,67,67,62,57,60,,1.294117647,51.76470588,36.1328125,26.3671875
79,61,66,62,60,64,67,66,66,67,63,56,62,,1.31372549,52.54901961,38.57421875,21.484375
80,61,67,60,58,65,68,67,67,68,62,57,62,,1.333333333,53.33333333,41.015625,16.6015625
81,60,67,60,52,64,67,66,66,67,59,57,62,,1.31372549,52.54901961,38.57421875,1.953125
82,61,68,57,61,64,67,67,67,67,62,56,59,,1.31372549,52.54901961,38.57421875,23.92578125
83,61,67,59,53,63,67,65,66,68,59,57,62,,1.31372549,52.54901961,38.57421875,4.39453125
84,61,67,61,55,63,67,64,65,68,61,56,61,,1.31372549,52.54901961,38.57421875,9.27734375
85,60,67,63,63,64,68,66,67,68,59,57,65,,1.333333333,53.33333333,41.015625,28.80859375
86,60,67,60,58,63,68,66,66,68,60,56,60,,1.333333333,53.33333333,41.015625,16.6015625
87,59,67,63,64,65,67,66,67,67,59,57,56,,1.31372549,52.54901961,38.57421875,31.25
88,59,67,60,60,64,67,67,67,67,60,57,60,,1.31372549,52.54901961,38.57421875,21.484375
89,59,67,65,58,64,67,67,66,67,64,57,56,,1.31372549,52.54901961,38.57421875,16.6015625
90,59,67,57,60,65,68,65,66,67,60,56,62,,1.333333333,53.33333333,41.015625,21.484375
91,59,67,65,57,64,68,65,67,68,63,57,60,,1.333333333,53.33333333,41.015625,14.16015625
92,59,67,57,53,64,67,66,66,67,62,56,62,,1.31372549,52.54901961,38.57421875,4.39453125
93,59,67,61,55,65,68,65,68,67,62,57,63,,1.333333333,53.33333333,41.015625,9.27734375
