,0,,2,3,
0,0,,0,0,
1,3019.635824,0,230,175,3.181818182
2,3023.052408,0,230,175,3.181818182
3,3023.849669,0,230,175,3.181818182
4,3024.893534,0,230,175,3.181818182
5,3025.92461,0,230,175,3.181818182
6,3026.868149,0,230,175,3.181818182
7,3028.014081,0,230,175,3.181818182
8,3028.97858,0,230,175,3.181818182
9,3029.944214,0,229,175,3.240740741
10,3030.883963,0,230,175,3.181818182
11,3031.934611,0,230,175,3.181818182
12,3032.919029,0,230,175,3.181818182
13,3033.81244,0,230,175,3.181818182
14,3034.915102,0,229,175,3.240740741
15,3035.914853,0,229,175,3.240740741
16,3036.85884,0,229,175,3.240740741
17,3037.900712,0,230,176,3.259259259
18,3038.899914,0,229,175,3.240740741
19,3039.900707,0,229,176,3.320754717
20,3040.873193,0,230,175,3.181818182
22,3043.002068,10,234,175,2.966101695
23,3044.033007,10,235,175,2.916666667
24,3044.89692,10,235,175,2.916666667
25,3045.897496,10,235,176,2.983050847
26,3046.85858,10,235,176,2.983050847
27,3047.929864,10,235,177,3.051724138
28,3048.921739,10,235,177,3.051724138
29,3049.849458,10,234,177,3.105263158
30,3050.894902,10,235,177,3.051724138
31,3051.904688,10,234,177,3.105263158
32,3052.850985,10,234,177,3.105263158
33,3053.929974,10,234,178,3.178571429
34,3054.951145,10,234,178,3.178571429
35,3055.975643,10,234,178,3.178571429
36,3056.934817,10,234,178,3.178571429
37,3057.983666,10,234,178,3.178571429
38,3058.917395,10,234,178,3.178571429
39,3059.886187,10,234,178,3.178571429
40,3060.931107,10,234,178,3.178571429
41,3061.877744,10,234,178,3.178571429
42,3062.928106,10,236,173,2.746031746
45,3065.938305,20,243,170,2.328767123
46,3066.914499,20,243,178,2.738461538
47,3067.929577,20,242,176,2.666666667
48,3068.844279,20,242,180,2.903225806
49,3069.943512,20,241,180,2.950819672
50,3070.93308,20,241,180,2.950819672
51,3071.860789,20,241,181,3.016666667
52,3072.991424,20,242,181,2.967213115
53,3074.021013,20,241,181,3.016666667
54,3074.822906,20,241,181,3.016666667
55,3075.927969,20,241,181,3.016666667
56,3076.902147,20,241,181,3.016666667
57,3077.830504,20,241,181,3.016666667
58,3078.880056,20,241,181,3.016666667
59,3079.927163,20,241,181,3.016666667
60,3080.916963,20,241,181,3.016666667
61,3081.917163,20,241,181,3.016666667
62,3082.878291,20,241,181,3.016666667
63,3083.878538,20,241,181,3.016666667
64,3084.888314,20,241,181,3.016666667
65,3085.810491,20,241,182,3.084745763
66,3086.957452,20,241,182,3.084745763
67,3088.027637,20,241,181,3.016666667
68,3089.000319,20,241,182,3.084745763
69,3089.950086,20,242,173,2.507246377
