,0,,2,3,
0,0,,0,0,
1,2830.845372,0,231,162,2.347826087
2,2833.765536,0,231,162,2.347826087
3,2834.741657,0,231,162,2.347826087
4,2835.838381,0,231,162,2.347826087
5,2836.845195,0,231,163,2.397058824
6,2837.761441,0,231,163,2.397058824
7,2838.816668,0,231,163,2.397058824
8,2839.813296,0,231,162,2.347826087
9,2840.791723,0,231,163,2.397058824
10,2841.792568,0,231,162,2.347826087
11,2842.810532,0,231,163,2.397058824
12,2843.76378,0,231,163,2.397058824
13,2844.752269,0,231,163,2.397058824
14,2845.786882,0,231,163,2.397058824
15,2846.77855,0,231,163,2.397058824
16,2847.849216,0,231,163,2.397058824
17,2848.794208,0,231,163,2.397058824
18,2849.766483,0,231,163,2.397058824
19,2850.75014,0,231,163,2.397058824
20,2851.856124,10,237,147,1.633333333
21,2852.799092,10,239,140,1.414141414
22,2853.763746,10,238,143,1.505263158
23,2854.812595,10,238,145,1.559139785
24,2855.786676,10,238,146,1.586956522
25,2856.734552,10,238,147,1.615384615
26,2857.768466,10,238,147,1.615384615
27,2858.780457,10,238,148,1.644444444
28,2859.770026,10,238,148,1.644444444
29,2860.761067,10,237,148,1.662921348
30,2861.793147,10,237,149,1.693181818
31,2862.829291,10,237,149,1.693181818
32,2863.848034,10,237,149,1.693181818
33,2864.769095,10,237,149,1.693181818
34,2865.762434,10,237,149,1.693181818
35,2866.686497,10,237,149,1.693181818
36,2867.767242,10,237,150,1.724137931
37,2868.767904,10,237,150,1.724137931
38,2869.704149,10,237,150,1.724137931
39,2870.76387,10,237,150,1.724137931
40,2871.772439,10,240,166,2.243243243
41,2872.68362,10,240,159,1.962962963
42,2873.748574,20,239,168,2.366197183
43,2874.822646,20,239,171,2.514705882
44,2875.757978,20,239,172,2.567164179
45,2876.784226,20,239,172,2.567164179
46,2877.912254,20,239,173,2.621212121
47,2878.845717,20,239,173,2.621212121
48,2879.776061,20,239,173,2.621212121
49,2880.767995,20,239,173,2.621212121
50,2881.783725,20,239,173,2.621212121
51,2882.803497,20,239,173,2.621212121
52,2883.755179,20,239,173,2.621212121
53,2884.778394,20,239,174,2.676923077
54,2885.761459,20,239,174,2.676923077
55,2886.688334,20,239,174,2.676923077
56,2887.803649,20,239,174,2.676923077
57,2888.807197,20,239,174,2.676923077
58,2889.691688,20,239,174,2.676923077
59,2890.797591,20,239,174,2.676923077
60,2891.801104,20,239,175,2.734375
61,2892.751193,20,239,175,2.734375
62,2893.809274,20,239,175,2.734375
63,2894.787194,20,239,174,2.676923077
