,0,,2,3,
0,0,,0,0,
1,1955.016437,0,238,90,0.608108108
2,1957.929985,0,238,90,0.608108108
3,1958.826426,0,238,90,0.608108108
4,1959.914138,0,238,90,0.608108108
5,1960.87544,0,238,91,0.619047619
6,1961.908226,0,238,90,0.608108108
7,1962.987938,0,238,90,0.608108108
8,1963.92518,0,238,91,0.619047619
9,1964.872173,0,238,91,0.619047619
10,1965.825063,0,238,91,0.619047619
11,1966.906452,0,238,91,0.619047619
12,1967.914146,0,238,91,0.619047619
13,1968.849359,0,238,91,0.619047619
14,1969.916746,0,238,91,0.619047619
15,1970.906408,0,238,91,0.619047619
16,1971.877816,0,238,91,0.619047619
17,1972.866767,0,238,91,0.619047619
18,1973.886258,0,238,91,0.619047619
19,1974.880134,0,238,91,0.619047619
20,1975.870882,0,238,91,0.619047619
21,1976.890436,0,238,91,0.619047619
22,1977.993343,0,238,92,0.630136986
23,1978.881959,0,238,91,0.619047619
24,1979.966016,0,238,89,0.597315436
25,1980.919885,0,238,90,0.608108108
27,1982.886003,10,238,107,0.816793893
28,1983.926985,10,239,101,0.731884058
29,1984.810338,10,239,104,0.77037037
30,1985.884191,10,238,105,0.789473684
31,1986.903605,10,238,105,0.789473684
32,1987.90612,10,239,102,0.744525547
33,1988.797941,10,239,104,0.77037037
34,1989.890014,10,239,105,0.78358209
35,1990.889048,10,239,105,0.78358209
36,1991.865586,10,239,105,0.78358209
37,1993.04707,10,238,105,0.789473684
38,1993.964935,10,238,106,0.803030303
39,1994.845104,10,238,106,0.803030303
40,1995.925197,10,238,106,0.803030303
41,1996.914618,10,238,106,0.803030303
42,1997.894476,10,238,106,0.803030303
43,1998.924682,10,238,106,0.803030303
44,1999.926231,10,238,106,0.803030303
45,2000.873302,10,238,105,0.789473684
48,2003.901205,20,244,102,0.718309859
49,2004.906029,20,243,105,0.760869565
50,2005.828414,20,243,106,0.773722628
51,2006.906901,20,243,106,0.773722628
52,2007.999983,20,243,106,0.773722628
53,2008.866576,20,243,107,0.786764706
54,2009.878441,20,243,107,0.786764706
55,2010.875886,20,243,107,0.786764706
56,2011.899806,20,243,107,0.786764706
57,2012.904573,20,243,108,0.8
58,2013.926428,20,243,108,0.8
59,2014.92951,20,243,108,0.8
60,2015.907678,20,243,108,0.8
61,2016.960589,20,243,108,0.8
62,2017.905126,20,243,108,0.8
63,2018.887705,20,243,108,0.8
64,2019.891785,20,243,108,0.8
65,2020.838029,20,242,113,0.875968992
67,2022.963522,30,249,107,0.753521127
68,2023.90818,30,251,83,0.494047619
69,2024.913204,30,250,87,0.533742331
70,2025.94867,30,250,88,0.543209877
71,2026.899776,30,250,89,0.552795031
72,2027.876669,30,250,90,0.5625
73,2028.940682,30,250,91,0.572327044
74,2029.880282,30,250,91,0.572327044
75,2030.806463,30,250,91,0.572327044
76,2031.934629,30,250,92,0.582278481
77,2032.893103,30,250,92,0.582278481
78,2033.859302,30,250,93,0.592356688
79,2034.92024,30,250,93,0.592356688
80,2035.91445,30,250,93,0.592356688
81,2036.888976,30,250,93,0.592356688
82,2037.955759,30,250,93,0.592356688
83,2038.961027,30,250,94,0.602564103
84,2039.8774,30,250,93,0.592356688
85,2040.892089,30,250,94,0.602564103
86,2041.845887,30,248,106,0.746478873
87,2042.945861,30,254,100,0.649350649
89,2044.823333,40,254,91,0.558282209
90,2045.894147,40,254,92,0.567901235
91,2046.944216,40,254,92,0.567901235
92,2047.936056,40,254,92,0.567901235
93,2048.922686,40,253,93,0.58125
94,2049.92201,40,253,93,0.58125
95,2050.853171,40,254,93,0.577639752
96,2051.899856,40,253,93,0.58125
97,2052.989917,40,253,93,0.58125
98,2053.831525,40,253,93,0.58125
99,2054.881866,40,253,94,0.591194969
100,2055.881155,40,253,94,0.591194969
101,2056.849989,40,253,94,0.591194969
102,2057.892501,40,253,94,0.591194969
103,2058.869198,40,253,94,0.591194969
104,2059.881815,40,253,94,0.591194969
105,2060.866721,40,253,95,0.601265823
106,2061.852496,40,253,95,0.601265823
107,2062.918549,40,254,93,0.577639752
108,2064.000441,40,253,95,0.601265823
109,2064.783055,40,254,94,0.5875
110,2065.185466,40,253,95,0.601265823
