,0,1,2
0,0.0,0.0,0.0
1,2729.430322,30.0,1.008711084137362
2,2729.458838,30.0,1.024877242973058
3,2729.535743,30.0,1.0492601741073233
4,2729.612711,30.0,1.0826531097382608
5,2729.691824,30.0,1.125088691415983
6,2729.768077,30.0,1.1749134555587104
7,2729.845177,30.0,1.2279366430546261
8,2729.921872,31.0,1.2771833004627118
9,2730.000582,31.0,1.3122188175538372
10,2730.075699,30.0,1.3199004378294672
11,2730.154107,29.0,1.2860227759062846
12,2730.229007,29.0,1.1975696528592206
13,2730.305103,26.0,1.043986935168515
14,2730.382223,27.0,0.8222486837239106
15,2730.458969,26.0,0.5373305093390724
16,2730.535904,22.0,0.20439682844847976
17,2730.613601,22.0,-0.14782082575095234
18,2730.689888,21.0,-0.4788831592868451
19,2730.766605,13.0,-0.7395280870854029
20,2730.843632,12.0,-0.8700192661725658
21,2730.922067,11.0,-0.8071751063280631
22,2730.999008,14.0,-0.48785693052459217
23,2731.075844,18.0,0.14439533170987187
24,2731.152931,25.0,1.1346447977771297
25,2731.230164,29.0,2.509709337951567
26,2731.306635,28.0,4.273900442736387
27,2731.383477,21.0,6.406118252943388
28,2731.461396,22.0,8.862964141752643
29,2731.537429,23.0,11.576413719408404
30,2731.614504,23.0,14.4569281374957
31,2731.691747,21.0,17.398144455881773
32,2731.769264,20.0,20.284344119220297
33,2731.845132,11.0,22.995206773070752
34,2731.922064,21.0,25.42245592365466
35,2731.999406,21.0,27.46773182654679
36,2732.075878,18.0,29.053536922562643
37,2732.152787,17.0,30.130000581977768
38,2732.22999,24.0,30.679935865687607
39,2732.30669,20.0,30.71403930272696
40,2732.383631,21.0,30.27538829358534
41,2732.460524,20.0,29.432659753958134
42,2732.537401,20.0,28.27552325792525
43,2732.614656,20.0,26.90678190975185
44,2732.691949,22.0,25.434817314687333
45,2732.76676,22.0,23.964034397206646
46,2732.844144,23.0,22.58840383531243
47,2732.921791,23.0,21.38443210562101
48,2732.997835,23.0,20.40710585126654
49,2733.074725,24.0,19.687779459191866
50,2733.151174,24.0,19.233374741272062
51,2733.228333,24.0,19.02872061141472
52,2733.305888,25.0,19.04047754130774
53,2733.382036,26.0,19.22175736879509
54,2733.460814,24.0,19.516985860027578
55,2733.537343,29.0,19.870874733510654
56,2733.614976,37.0,20.23210676784211
57,2733.69118,31.0,20.553068364572546
58,2733.768305,27.0,20.79879014614906
59,2733.845087,26.0,20.947982719398706
60,2733.922068,24.0,20.991962689570137
61,2733.998825,23.0,20.93445551714607
62,2734.076186,23.0,20.788080478573153
63,2734.152781,23.0,20.58370326686856
64,2734.231189,23.0,20.348917896401716
65,2734.306397,23.0,20.113670034178107
66,2734.384833,23.0,19.90733081420603
67,2734.460204,22.0,19.7559256447253
68,2734.538015,23.0,19.681260303391646
69,2734.613996,24.0,19.699031644700487
70,2734.691148,22.0,19.818112702291614
71,2734.76791,22.0,20.04183583720172
72,2734.845672,23.0,20.367956248187557
73,2734.922416,23.0,20.789174216701657
74,2734.998819,23.0,21.29492935456058
75,2735.075696,18.0,21.869010724468282
76,2735.152878,25.0,22.49787860666681
77,2735.230101,24.0,23.16244479503366
78,2735.306739,24.0,23.841506877889834
79,2735.383385,24.0,24.513601353687235
80,2735.460489,23.0,25.155938404478604
81,2735.537383,26.0,25.743887448373574
82,2735.614732,25.0,26.253727022910397
83,2735.691221,26.0,26.663831466538063
84,2735.768207,25.0,26.956067349822874
85,2735.845324,25.0,27.117583726897696
86,2735.922015,25.0,27.14281633050892
87,2735.998822,25.0,27.032955551181146
88,2736.076458,25.0,26.795779674330056
89,2736.151273,24.0,26.44388119587949
90,2736.228424,25.0,25.999214973870103
91,2736.305083,25.0,25.488219102807392
92,2736.382946,25.0,24.940167585687444
93,2736.459178,25.0,24.384540871570373
94,2736.536219,25.0,23.850260331224952
95,2736.612903,25.0,23.359572738889064
96,2736.690263,26.0,22.93658810038996
97,2736.766598,26.0,22.596706157025235
98,2736.844798,25.0,22.348084369119597
99,2736.921834,25.0,22.193429676194963
100,2737.000024,26.0,22.133254684187587
101,2737.074922,25.0,22.159266878652677
102,2737.152791,26.0,22.26189103622333
103,2737.228445,22.0,22.42679140568109
104,2737.305463,25.0,22.64085453243187
105,2737.381924,24.0,22.888844004172803
106,2737.459357,25.0,23.157532100566097
107,2737.535854,25.0,23.433842476663948
108,2737.613076,26.0,23.707123777252864
109,2737.689706,24.0,23.967480187854363
110,2737.768484,24.0,24.207806885564583
111,2737.845219,26.0,24.423858307518657
112,2737.922186,25.0,24.61196986275251
113,2737.999362,26.0,24.770886537254466
114,2738.076075,26.0,24.900733143137
115,2738.15398,26.0,25.003114391127518
116,2738.229852,25.0,25.079063013359526
117,2738.30665,25.0,25.132689412508107
118,2738.383527,26.0,25.170609074028775
119,2738.46178,25.0,25.194726067350278
120,2738.537221,26.0,25.207836335002895
121,2738.614218,26.0,25.21263402576131
122,2738.691174,25.0,25.21033341193236
123,2738.770978,26.0,25.202091292962983
124,2738.845044,25.0,25.187824717489484
125,2738.921939,25.0,25.16731244977073
126,2738.997456,25.0,25.140106896514656
127,2739.075317,26.0,25.106299393758594
128,2739.151228,26.0,25.066302710047484
129,2739.228122,26.0,25.021067974459566
130,2739.30508,25.0,24.97285637229968
131,2739.382013,25.0,24.925386904259224
132,2739.458906,25.0,24.88197908000276
133,2739.535808,25.0,24.846749408813874
134,2739.612802,26.0,24.824268152261247
135,2739.692981,25.0,24.81749744062192
136,2739.770405,20.0,24.827479428660922
137,2739.844855,25.0,24.854817201250434
138,2739.92252,25.0,24.90051070284917
139,2739.999192,25.0,24.96199151815176
140,2740.075907,25.0,25.035869409491376
141,2740.152682,25.0,25.1180439650263
142,2740.230484,26.0,25.203850881634608
143,2740.306441,25.0,25.28949275619474
144,2740.390028,25.0,25.37075553377696
145,2740.461012,26.0,25.445091374380056
146,2740.53595,25.0,25.509467613052742
147,2740.612933,25.0,25.562348379414832
148,2745.632102,26.0,25.60309488203366
149,2745.690969,25.0,25.630882564231833
150,2745.768667,25.0,25.645607156936876
151,2745.844789,27.0,25.64736438002381
152,2745.921842,26.0,25.635871130946484
153,2745.998891,26.0,25.610986502932306
154,2746.075844,26.0,25.572554122751338
155,2746.152549,25.0,25.52028984336706
156,2746.230093,26.0,25.454913751876614
157,2746.306416,25.0,25.376944550943755
158,2746.385722,26.0,25.28872265124296
159,2746.460259,26.0,25.19282663499595
160,2746.537643,26.0,25.092445730749777
