,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1152.583413,108.0,107.0,106.0,108.0,107.0
2,2.0,1167.562069,109.0,110.0,109.0,109.0,109.0
3,3.0,1182.536172,108.0,108.0,109.0,108.0,108.0
4,4.0,1197.564126,107.0,108.0,105.0,103.0,105.0
5,5.0,1212.583401,107.0,110.0,104.0,105.0,108.0
6,6.0,1227.526936,105.0,104.0,108.0,107.0,105.0
7,7.0,1242.563443,107.0,105.0,108.0,107.0,105.0
8,8.0,1257.541684,104.0,103.0,101.0,101.0,104.0
9,9.0,1272.570187,105.0,106.0,106.0,105.0,105.0
10,10.0,1287.548602,104.0,104.0,107.0,106.0,104.0
11,11.0,1302.522661,104.0,107.0,104.0,106.0,106.0
12,12.0,1317.585484,106.0,107.0,107.0,108.0,108.0
13,13.0,1332.525482,104.0,107.0,107.0,104.0,110.0
14,14.0,1347.531817,107.0,106.0,109.0,107.0,109.0
15,15.0,1362.540248,105.0,109.0,107.0,109.0,110.0
16,16.0,1377.559268,108.0,108.0,106.0,107.0,108.0
17,17.0,1392.588871,107.0,111.0,107.0,110.0,110.0
18,18.0,1407.539104,109.0,110.0,110.0,111.0,111.0
19,19.0,1422.529959,109.0,110.0,110.0,111.0,108.0
20,20.0,1437.54126,105.0,111.0,108.0,106.0,106.0
21,21.0,1452.549137,108.0,107.0,108.0,108.0,107.0
22,22.0,1467.541904,103.0,106.0,106.0,106.0,106.0
23,23.0,1482.541272,108.0,107.0,105.0,109.0,107.0
24,24.0,1497.551303,111.0,108.0,108.0,106.0,106.0
25,25.0,1512.581739,109.0,107.0,104.0,108.0,105.0
26,26.0,1527.531435,103.0,103.0,106.0,105.0,105.0
27,27.0,1542.530573,107.0,103.0,110.0,107.0,106.0
28,28.0,1557.559697,103.0,103.0,105.0,105.0,107.0
29,29.0,1572.558896,105.0,106.0,103.0,103.0,104.0
30,30.0,1587.53274,106.0,103.0,104.0,103.0,106.0
31,31.0,1602.54495,106.0,103.0,106.0,105.0,104.0
32,32.0,1617.545802,104.0,105.0,106.0,104.0,105.0
33,33.0,1632.569944,105.0,104.0,101.0,105.0,104.0
34,34.0,1647.550295,105.0,105.0,105.0,105.0,105.0
35,35.0,1662.612642,104.0,103.0,105.0,105.0,104.0
36,36.0,1677.531083,104.0,103.0,106.0,104.0,106.0
37,37.0,1692.557127,103.0,104.0,103.0,103.0,101.0
38,38.0,1707.531915,105.0,103.0,102.0,104.0,104.0
39,39.0,1722.531589,105.0,103.0,103.0,105.0,106.0
40,40.0,1737.554645,104.0,103.0,105.0,106.0,105.0
41,41.0,1752.569121,106.0,106.0,108.0,103.0,103.0
42,42.0,1767.542982,106.0,105.0,103.0,105.0,103.0
43,43.0,1782.545619,101.0,107.0,103.0,105.0,104.0
44,44.0,1797.593004,105.0,105.0,105.0,103.0,105.0
45,45.0,1812.526817,104.0,107.0,103.0,103.0,105.0
46,46.0,1827.534022,108.0,107.0,103.0,103.0,106.0
47,47.0,1842.524875,105.0,104.0,105.0,109.0,103.0
48,48.0,1857.541029,104.0,105.0,104.0,106.0,106.0
49,49.0,1872.549252,104.0,104.0,104.0,104.0,104.0
