,0,1
0,0.0,0.0
1,1.0,59.4
2,2.0,59.6
3,3.0,59.2
4,4.0,60.4
5,5.0,59.0
6,6.0,60.6
7,7.0,59.4
8,8.0,59.4
9,9.0,59.8
10,10.0,59.4
11,11.0,58.6
12,12.0,58.6
13,13.0,59.6
14,14.0,59.6
15,15.0,60.4
16,16.0,59.6
17,17.0,59.4
18,18.0,59.6
19,19.0,59.0
20,20.0,58.4
21,21.0,58.6
22,22.0,58.2
23,23.0,58.2
24,24.0,58.2
25,25.0,58.8
26,26.0,60.0
27,27.0,59.8
28,28.0,58.6
29,29.0,58.6
30,30.0,59.2
31,31.0,59.6
32,32.0,58.6
33,33.0,58.6
34,34.0,58.8
35,35.0,58.6
36,36.0,59.2
37,37.0,58.6
38,38.0,58.6
39,39.0,59.2
40,40.0,58.4
41,41.0,58.2
42,42.0,57.8
43,43.0,59.4
44,44.0,58.6
45,45.0,58.2
46,46.0,58.4
47,47.0,58.6
48,48.0,58.6
49,49.0,58.0
50,50.0,57.4
51,51.0,58.6
52,52.0,57.8
53,53.0,58.2
54,54.0,58.6
55,55.0,58.6
56,56.0,59.2
57,57.0,59.2
58,58.0,58.6
59,59.0,58.2
60,60.0,58.6
61,61.0,58.6
62,62.0,58.4
63,63.0,58.2
64,64.0,57.4
65,65.0,58.4
66,66.0,58.2
67,67.0,59.4
68,68.0,57.4
69,69.0,59.0
