,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,62.0,95.0,90.0,87.0,95.0,95.0,141.0,95.0,95.0,96.0,96.0,95.0
2,62.0,96.0,90.0,84.0,95.0,95.0,80.0,27.0,95.0,96.0,96.0,95.0
3,62.0,96.0,91.0,88.0,95.0,95.0,84.0,27.0,96.0,96.0,96.0,96.0
4,61.0,101.0,93.0,88.0,96.0,95.0,81.0,25.0,95.0,96.0,95.0,95.0
5,62.0,109.0,91.0,87.0,96.0,95.0,81.0,23.0,96.0,96.0,96.0,95.0
6,63.0,100.0,94.0,85.0,96.0,95.0,80.0,23.0,96.0,96.0,96.0,96.0
7,63.0,108.0,94.0,89.0,96.0,95.0,79.0,22.0,96.0,95.0,96.0,95.0
8,64.0,113.0,91.0,86.0,95.0,96.0,79.0,21.0,96.0,96.0,96.0,95.0
9,64.0,105.0,94.0,87.0,96.0,95.0,79.0,22.0,96.0,96.0,95.0,95.0
10,65.0,109.0,93.0,84.0,96.0,95.0,79.0,22.0,96.0,95.0,96.0,95.0
11,64.0,113.0,92.0,89.0,96.0,96.0,79.0,21.0,96.0,96.0,96.0,95.0
12,64.0,108.0,92.0,86.0,97.0,96.0,79.0,21.0,96.0,96.0,96.0,96.0
13,65.0,111.0,90.0,87.0,96.0,95.0,79.0,21.0,96.0,96.0,96.0,95.0
14,65.0,114.0,91.0,87.0,96.0,95.0,79.0,21.0,96.0,96.0,96.0,95.0
15,65.0,110.0,90.0,87.0,96.0,96.0,79.0,21.0,97.0,96.0,96.0,96.0
16,65.0,114.0,92.0,86.0,96.0,95.0,79.0,20.0,96.0,96.0,96.0,96.0
17,63.0,115.0,92.0,88.0,96.0,96.0,79.0,20.0,96.0,96.0,96.0,96.0
18,64.0,112.0,97.0,92.0,96.0,96.0,79.0,21.0,97.0,96.0,96.0,96.0
19,66.0,114.0,96.0,87.0,96.0,96.0,79.0,20.0,95.0,96.0,96.0,96.0
20,64.0,116.0,94.0,89.0,96.0,96.0,78.0,20.0,96.0,96.0,96.0,95.0
21,65.0,114.0,97.0,89.0,96.0,96.0,79.0,20.0,96.0,96.0,96.0,96.0
22,65.0,115.0,95.0,91.0,96.0,96.0,79.0,20.0,96.0,96.0,96.0,96.0
23,66.0,117.0,97.0,85.0,96.0,96.0,79.0,20.0,96.0,96.0,96.0,96.0
24,66.0,115.0,100.0,91.0,95.0,96.0,78.0,20.0,96.0,96.0,96.0,96.0
25,68.0,117.0,99.0,92.0,96.0,96.0,79.0,20.0,97.0,96.0,96.0,96.0
26,66.0,118.0,101.0,97.0,97.0,96.0,79.0,21.0,98.0,96.0,96.0,96.0
27,66.0,117.0,102.0,101.0,97.0,96.0,79.0,20.0,97.0,96.0,96.0,96.0
28,65.0,117.0,101.0,99.0,97.0,96.0,79.0,20.0,97.0,96.0,96.0,96.0
29,66.0,118.0,102.0,99.0,97.0,96.0,79.0,20.0,98.0,96.0,96.0,96.0
30,66.0,117.0,103.0,103.0,96.0,96.0,79.0,20.0,96.0,96.0,96.0,96.0
31,65.0,115.0,102.0,108.0,99.0,96.0,79.0,20.0,97.0,96.0,96.0,96.0
32,66.0,113.0,100.0,101.0,101.0,96.0,79.0,20.0,95.0,96.0,96.0,96.0
33,54.0,111.0,101.0,107.0,97.0,97.0,79.0,20.0,96.0,96.0,96.0,96.0
34,65.0,110.0,102.0,106.0,105.0,98.0,81.0,20.0,97.0,96.0,96.0,96.0
35,60.0,107.0,98.0,114.0,106.0,97.0,79.0,20.0,98.0,97.0,96.0,96.0
36,64.0,106.0,103.0,97.0,114.0,99.0,81.0,20.0,96.0,96.0,96.0,96.0
37,67.0,104.0,100.0,111.0,105.0,98.0,80.0,20.0,98.0,96.0,96.0,96.0
38,66.0,102.0,99.0,107.0,119.0,97.0,80.0,20.0,97.0,96.0,96.0,96.0
39,67.0,100.0,102.0,116.0,109.0,98.0,80.0,20.0,96.0,96.0,96.0,96.0
40,68.0,99.0,100.0,100.0,117.0,102.0,83.0,20.0,98.0,97.0,96.0,96.0
41,69.0,97.0,103.0,116.0,119.0,110.0,87.0,21.0,97.0,97.0,98.0,97.0
42,70.0,97.0,103.0,109.0,117.0,109.0,88.0,21.0,95.0,98.0,96.0,97.0
43,71.0,97.0,99.0,115.0,118.0,111.0,90.0,22.0,96.0,97.0,97.0,97.0
44,70.0,96.0,97.0,106.0,117.0,105.0,84.0,21.0,96.0,97.0,96.0,96.0
45,72.0,95.0,95.0,118.0,119.0,111.0,90.0,22.0,96.0,98.0,96.0,97.0
46,73.0,95.0,93.0,111.0,114.0,113.0,94.0,23.0,96.0,98.0,96.0,96.0
47,68.0,94.0,90.0,117.0,127.0,114.0,95.0,23.0,96.0,96.0,96.0,97.0
48,74.0,95.0,91.0,111.0,124.0,113.0,93.0,23.0,96.0,99.0,95.0,97.0
49,79.0,95.0,91.0,120.0,124.0,115.0,96.0,23.0,96.0,97.0,96.0,96.0
50,76.0,94.0,90.0,112.0,126.0,116.0,96.0,23.0,96.0,96.0,95.0,96.0
51,76.0,94.0,89.0,109.0,121.0,120.0,96.0,23.0,96.0,96.0,95.0,96.0
52,76.0,93.0,88.0,107.0,126.0,116.0,95.0,23.0,95.0,95.0,95.0,96.0
53,76.0,94.0,87.0,103.0,120.0,118.0,97.0,23.0,95.0,96.0,95.0,96.0
54,78.0,93.0,89.0,101.0,127.0,116.0,96.0,25.0,95.0,96.0,95.0,96.0
55,76.0,93.0,87.0,98.0,123.0,125.0,98.0,24.0,95.0,96.0,96.0,96.0
56,78.0,93.0,87.0,97.0,119.0,120.0,99.0,24.0,96.0,96.0,95.0,97.0
57,77.0,93.0,87.0,95.0,129.0,118.0,97.0,24.0,97.0,96.0,96.0,96.0
58,75.0,92.0,85.0,93.0,122.0,124.0,102.0,25.0,96.0,96.0,95.0,96.0
59,85.0,92.0,87.0,92.0,120.0,124.0,101.0,25.0,96.0,96.0,96.0,96.0
60,72.0,93.0,87.0,89.0,119.0,121.0,99.0,24.0,106.0,96.0,95.0,96.0
61,72.0,92.0,87.0,88.0,117.0,124.0,96.0,23.0,100.0,96.0,95.0,96.0
62,72.0,93.0,88.0,87.0,115.0,124.0,101.0,25.0,99.0,96.0,95.0,96.0
63,73.0,94.0,87.0,87.0,115.0,122.0,100.0,25.0,104.0,97.0,96.0,96.0
64,72.0,93.0,88.0,87.0,113.0,120.0,98.0,24.0,107.0,97.0,95.0,96.0
65,72.0,93.0,88.0,89.0,110.0,116.0,95.0,24.0,111.0,97.0,94.0,95.0
66,69.0,93.0,87.0,90.0,108.0,114.0,94.0,23.0,109.0,96.0,95.0,95.0
67,68.0,93.0,87.0,90.0,105.0,111.0,93.0,25.0,111.0,96.0,95.0,95.0
68,65.0,93.0,87.0,88.0,103.0,109.0,88.0,22.0,116.0,95.0,93.0,95.0
69,65.0,93.0,87.0,90.0,100.0,107.0,88.0,22.0,114.0,96.0,95.0,95.0
70,66.0,93.0,88.0,88.0,97.0,107.0,89.0,23.0,109.0,106.0,97.0,95.0
71,81.0,94.0,88.0,86.0,98.0,107.0,88.0,23.0,115.0,101.0,98.0,97.0
72,71.0,94.0,89.0,91.0,99.0,105.0,87.0,22.0,116.0,110.0,99.0,96.0
73,74.0,94.0,88.0,87.0,97.0,103.0,81.0,21.0,106.0,113.0,97.0,96.0
74,75.0,94.0,89.0,87.0,96.0,102.0,82.0,22.0,121.0,111.0,99.0,96.0
75,76.0,95.0,90.0,88.0,96.0,100.0,81.0,22.0,108.0,115.0,99.0,97.0
76,77.0,95.0,89.0,90.0,96.0,100.0,80.0,21.0,110.0,117.0,103.0,95.0
77,79.0,95.0,90.0,86.0,96.0,98.0,80.0,21.0,124.0,117.0,101.0,98.0
78,81.0,95.0,91.0,86.0,96.0,98.0,80.0,21.0,123.0,114.0,104.0,99.0
79,82.0,95.0,90.0,87.0,96.0,99.0,80.0,18.0,115.0,119.0,107.0,98.0
80,83.0,95.0,90.0,87.0,96.0,96.0,79.0,19.0,124.0,120.0,102.0,98.0
81,88.0,95.0,90.0,84.0,97.0,95.0,78.0,19.0,124.0,119.0,110.0,99.0
82,82.0,95.0,89.0,88.0,94.0,94.0,77.0,19.0,119.0,116.0,106.0,97.0
83,78.0,94.0,89.0,87.0,94.0,93.0,77.0,19.0,117.0,112.0,101.0,95.0
84,70.0,94.0,87.0,87.0,93.0,93.0,76.0,19.0,115.0,109.0,98.0,93.0
85,66.0,93.0,88.0,85.0,91.0,93.0,76.0,19.0,114.0,107.0,98.0,93.0
86,63.0,93.0,87.0,89.0,93.0,93.0,76.0,19.0,112.0,104.0,96.0,93.0
87,61.0,93.0,88.0,86.0,92.0,92.0,76.0,19.0,110.0,103.0,95.0,94.0
88,59.0,93.0,87.0,87.0,93.0,93.0,75.0,19.0,108.0,100.0,94.0,92.0
89,58.0,93.0,87.0,87.0,94.0,92.0,75.0,19.0,107.0,98.0,94.0,92.0
90,58.0,93.0,88.0,88.0,91.0,92.0,76.0,19.0,105.0,98.0,94.0,93.0
91,58.0,93.0,86.0,86.0,93.0,92.0,76.0,19.0,103.0,97.0,93.0,93.0
92,57.0,93.0,88.0,87.0,92.0,93.0,75.0,19.0,101.0,97.0,95.0,93.0
93,58.0,93.0,88.0,92.0,93.0,93.0,75.0,19.0,99.0,97.0,95.0,93.0
94,57.0,93.0,88.0,86.0,92.0,93.0,76.0,19.0,97.0,96.0,95.0,94.0
95,57.0,94.0,89.0,87.0,93.0,94.0,78.0,19.0,99.0,96.0,95.0,93.0
96,57.0,94.0,88.0,88.0,94.0,93.0,76.0,19.0,100.0,96.0,95.0,94.0
97,57.0,93.0,89.0,90.0,93.0,94.0,76.0,19.0,96.0,96.0,95.0,94.0
98,58.0,94.0,89.0,84.0,94.0,96.0,77.0,19.0,98.0,96.0,95.0,95.0
99,58.0,94.0,89.0,88.0,93.0,94.0,77.0,19.0,98.0,96.0,95.0,93.0
100,59.0,94.0,89.0,87.0,95.0,94.0,77.0,19.0,95.0,96.0,95.0,95.0
101,60.0,94.0,89.0,87.0,94.0,94.0,77.0,19.0,96.0,96.0,95.0,94.0
102,60.0,94.0,89.0,84.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
103,60.0,94.0,89.0,89.0,96.0,95.0,78.0,19.0,96.0,96.0,95.0,94.0
104,61.0,94.0,89.0,86.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
105,62.0,94.0,89.0,87.0,95.0,95.0,77.0,19.0,97.0,96.0,95.0,95.0
106,61.0,94.0,89.0,88.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
107,61.0,94.0,89.0,89.0,95.0,95.0,77.0,20.0,96.0,96.0,95.0,95.0
108,60.0,94.0,89.0,87.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
109,60.0,94.0,89.0,88.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
110,61.0,94.0,89.0,84.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
111,62.0,94.0,89.0,88.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
112,61.0,94.0,89.0,86.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
113,62.0,94.0,89.0,88.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,96.0
114,60.0,94.0,89.0,92.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
115,61.0,94.0,89.0,86.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
116,61.0,94.0,89.0,87.0,95.0,95.0,77.0,19.0,97.0,96.0,95.0,95.0
117,62.0,94.0,89.0,87.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
118,62.0,94.0,89.0,88.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
119,61.0,94.0,89.0,84.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
120,62.0,94.0,89.0,88.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
121,62.0,94.0,89.0,87.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
122,62.0,94.0,89.0,87.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
123,62.0,94.0,89.0,84.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
124,61.0,94.0,89.0,89.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
125,61.0,94.0,89.0,86.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
126,61.0,94.0,89.0,87.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
127,62.0,94.0,89.0,87.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
128,61.0,94.0,89.0,89.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
129,62.0,94.0,89.0,86.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
130,62.0,96.0,89.0,88.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
131,76.0,94.0,89.0,92.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
132,63.0,95.0,89.0,86.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
133,63.0,94.0,89.0,86.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
134,63.0,94.0,89.0,88.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
135,62.0,94.0,89.0,92.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
136,63.0,95.0,89.0,85.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
137,63.0,95.0,89.0,87.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
138,63.0,94.0,89.0,87.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
139,63.0,95.0,89.0,87.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
140,64.0,95.0,89.0,84.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
141,62.0,95.0,89.0,89.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
142,63.0,95.0,89.0,87.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
143,62.0,95.0,89.0,87.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
144,63.0,95.0,89.0,85.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
145,63.0,95.0,89.0,86.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
146,64.0,94.0,89.0,86.0,95.0,95.0,77.0,19.0,96.0,96.0,95.0,95.0
147,63.0,95.0,89.0,87.0,95.0,95.0,78.0,19.0,96.0,96.0,95.0,95.0
148,64.0,95.0,89.0,84.0,95.0,95.0,137.0,90.0,96.0,96.0,95.0,95.0
149,63.0,97.0,90.0,87.0,95.0,95.0,79.0,26.0,96.0,96.0,95.0,96.0
150,63.0,102.0,90.0,88.0,95.0,95.0,82.0,26.0,98.0,96.0,95.0,95.0
