,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,24.0,83.0,66.0,62.0,67.0,71.0,67.0,70.0,71.0,68.0,70.0,60.0
2,23.0,38.0,65.0,60.0,66.0,70.0,67.0,70.0,71.0,67.0,69.0,58.0
3,25.0,33.0,65.0,62.0,66.0,70.0,67.0,70.0,70.0,68.0,69.0,59.0
4,24.0,31.0,65.0,62.0,66.0,70.0,67.0,70.0,70.0,67.0,69.0,58.0
5,24.0,31.0,65.0,62.0,66.0,70.0,67.0,70.0,70.0,67.0,69.0,60.0
6,24.0,30.0,65.0,62.0,66.0,70.0,66.0,70.0,70.0,68.0,69.0,59.0
7,26.0,29.0,65.0,60.0,66.0,70.0,67.0,70.0,71.0,67.0,69.0,60.0
8,25.0,29.0,65.0,61.0,66.0,70.0,67.0,70.0,70.0,68.0,69.0,60.0
9,24.0,27.0,65.0,59.0,66.0,70.0,67.0,70.0,71.0,68.0,69.0,61.0
10,24.0,28.0,65.0,61.0,66.0,70.0,67.0,70.0,70.0,68.0,69.0,61.0
11,25.0,28.0,69.0,62.0,66.0,70.0,67.0,70.0,71.0,67.0,69.0,61.0
12,25.0,28.0,65.0,61.0,66.0,71.0,67.0,69.0,70.0,68.0,69.0,59.0
13,25.0,28.0,65.0,63.0,66.0,70.0,66.0,70.0,70.0,67.0,69.0,58.0
14,25.0,28.0,67.0,62.0,66.0,71.0,67.0,70.0,70.0,68.0,69.0,60.0
15,25.0,26.0,66.0,64.0,67.0,71.0,67.0,70.0,71.0,68.0,69.0,59.0
16,25.0,26.0,70.0,66.0,67.0,71.0,68.0,70.0,71.0,68.0,69.0,60.0
17,24.0,25.0,69.0,66.0,68.0,71.0,68.0,70.0,71.0,68.0,70.0,60.0
18,20.0,24.0,74.0,64.0,69.0,71.0,67.0,70.0,71.0,68.0,69.0,61.0
19,22.0,25.0,71.0,68.0,68.0,71.0,68.0,71.0,71.0,68.0,70.0,61.0
20,22.0,25.0,80.0,68.0,69.0,72.0,68.0,71.0,71.0,69.0,71.0,63.0
21,22.0,24.0,74.0,72.0,70.0,72.0,68.0,71.0,71.0,68.0,70.0,61.0
