,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,33.0,91.0,66.0,63.0,67.0,71.0,68.0,71.0,71.0,69.0,70.0,61.0
2,32.0,40.0,67.0,63.0,68.0,72.0,69.0,71.0,72.0,69.0,71.0,62.0
3,32.0,40.0,66.0,61.0,67.0,71.0,69.0,71.0,72.0,69.0,71.0,60.0
4,32.0,39.0,66.0,62.0,67.0,72.0,68.0,71.0,71.0,69.0,70.0,61.0
5,33.0,38.0,66.0,62.0,67.0,71.0,68.0,71.0,72.0,69.0,70.0,62.0
6,32.0,36.0,66.0,62.0,67.0,71.0,68.0,71.0,71.0,69.0,70.0,62.0
7,32.0,35.0,66.0,65.0,68.0,71.0,68.0,71.0,72.0,69.0,71.0,61.0
8,34.0,34.0,66.0,63.0,67.0,71.0,68.0,71.0,72.0,69.0,70.0,62.0
9,32.0,34.0,66.0,63.0,67.0,71.0,68.0,71.0,72.0,69.0,71.0,62.0
10,32.0,34.0,65.0,64.0,67.0,71.0,68.0,71.0,71.0,69.0,70.0,64.0
11,32.0,35.0,68.0,63.0,67.0,71.0,68.0,71.0,72.0,69.0,70.0,61.0
12,31.0,33.0,64.0,62.0,68.0,72.0,69.0,71.0,72.0,69.0,71.0,62.0
13,31.0,33.0,68.0,63.0,68.0,72.0,68.0,71.0,72.0,69.0,71.0,62.0
14,32.0,33.0,72.0,65.0,68.0,72.0,69.0,71.0,72.0,69.0,71.0,62.0
15,32.0,31.0,73.0,67.0,68.0,72.0,69.0,71.0,72.0,69.0,71.0,61.0
16,28.0,30.0,75.0,68.0,69.0,72.0,70.0,71.0,72.0,69.0,71.0,61.0
17,29.0,31.0,76.0,68.0,69.0,73.0,69.0,72.0,72.0,69.0,71.0,61.0
18,29.0,31.0,77.0,69.0,70.0,73.0,69.0,72.0,73.0,70.0,71.0,61.0
19,27.0,29.0,79.0,70.0,70.0,74.0,70.0,72.0,72.0,70.0,71.0,62.0
20,26.0,29.0,78.0,72.0,71.0,72.0,70.0,72.0,73.0,70.0,71.0,61.0
21,24.0,27.0,82.0,74.0,70.0,72.0,70.0,72.0,73.0,70.0,71.0,62.0
22,24.0,27.0,83.0,76.0,73.0,72.0,70.0,72.0,72.0,70.0,71.0,62.0
23,25.0,28.0,88.0,78.0,73.0,73.0,71.0,72.0,73.0,70.0,71.0,64.0
24,23.0,23.0,86.0,82.0,76.0,75.0,71.0,72.0,72.0,70.0,72.0,62.0
25,25.0,25.0,92.0,87.0,80.0,75.0,70.0,73.0,72.0,70.0,71.0,61.0
26,24.0,25.0,93.0,87.0,88.0,74.0,71.0,73.0,72.0,70.0,71.0,61.0
27,23.0,26.0,96.0,89.0,88.0,77.0,72.0,73.0,73.0,70.0,71.0,60.0
28,26.0,26.0,99.0,88.0,91.0,79.0,72.0,73.0,73.0,70.0,72.0,61.0
29,24.0,25.0,99.0,88.0,87.0,80.0,72.0,72.0,72.0,70.0,71.0,60.0
30,26.0,27.0,101.0,87.0,84.0,82.0,73.0,73.0,72.0,71.0,71.0,62.0
31,26.0,26.0,101.0,89.0,85.0,78.0,75.0,73.0,72.0,71.0,72.0,62.0
32,27.0,27.0,102.0,94.0,84.0,86.0,76.0,73.0,73.0,71.0,72.0,62.0
33,25.0,25.0,101.0,97.0,84.0,91.0,77.0,74.0,73.0,71.0,72.0,62.0
34,25.0,24.0,97.0,98.0,84.0,90.0,79.0,73.0,73.0,71.0,72.0,62.0
35,21.0,22.0,96.0,96.0,85.0,91.0,77.0,74.0,72.0,71.0,72.0,62.0
36,22.0,23.0,95.0,96.0,83.0,86.0,82.0,75.0,73.0,71.0,72.0,62.0
37,21.0,22.0,94.0,91.0,84.0,90.0,81.0,78.0,75.0,72.0,73.0,63.0
38,20.0,23.0,93.0,94.0,80.0,91.0,85.0,80.0,73.0,71.0,72.0,64.0
39,21.0,21.0,90.0,93.0,87.0,95.0,83.0,79.0,74.0,71.0,72.0,62.0
40,22.0,22.0,88.0,90.0,83.0,99.0,84.0,83.0,73.0,71.0,72.0,61.0
41,23.0,23.0,86.0,88.0,85.0,97.0,82.0,83.0,77.0,71.0,73.0,62.0
42,25.0,24.0,84.0,86.0,86.0,100.0,82.0,82.0,77.0,72.0,73.0,61.0
43,26.0,25.0,82.0,84.0,85.0,95.0,83.0,82.0,78.0,72.0,73.0,62.0
44,23.0,23.0,79.0,81.0,80.0,94.0,82.0,83.0,80.0,73.0,73.0,62.0
45,21.0,23.0,76.0,78.0,75.0,92.0,84.0,84.0,81.0,73.0,73.0,62.0
46,22.0,22.0,73.0,75.0,74.0,95.0,82.0,81.0,84.0,76.0,73.0,62.0
47,26.0,24.0,73.0,74.0,72.0,98.0,88.0,85.0,85.0,76.0,73.0,63.0
48,25.0,24.0,74.0,74.0,74.0,96.0,84.0,91.0,85.0,80.0,74.0,60.0
49,24.0,24.0,71.0,72.0,73.0,95.0,85.0,88.0,88.0,78.0,73.0,62.0
50,25.0,27.0,72.0,71.0,72.0,94.0,86.0,86.0,90.0,77.0,77.0,61.0
51,16.0,23.0,72.0,71.0,72.0,92.0,83.0,93.0,89.0,81.0,76.0,60.0
52,21.0,22.0,72.0,69.0,71.0,91.0,88.0,92.0,87.0,87.0,77.0,62.0
53,22.0,22.0,71.0,68.0,71.0,90.0,82.0,93.0,90.0,84.0,78.0,61.0
54,20.0,21.0,71.0,66.0,70.0,87.0,78.0,91.0,92.0,82.0,81.0,62.0
55,18.0,20.0,71.0,65.0,69.0,86.0,73.0,92.0,93.0,87.0,81.0,60.0
56,19.0,21.0,71.0,63.0,68.0,85.0,72.0,92.0,96.0,91.0,87.0,65.0
57,23.0,22.0,70.0,63.0,67.0,83.0,71.0,88.0,91.0,86.0,80.0,62.0
58,17.0,17.0,69.0,62.0,65.0,80.0,69.0,83.0,86.0,80.0,75.0,62.0
59,13.0,16.0,69.0,62.0,64.0,78.0,68.0,80.0,83.0,76.0,73.0,62.0
60,15.0,16.0,69.0,65.0,64.0,76.0,66.0,77.0,80.0,73.0,72.0,63.0
61,15.0,18.0,70.0,63.0,63.0,74.0,67.0,75.0,79.0,72.0,72.0,61.0
62,15.0,20.0,69.0,63.0,63.0,74.0,65.0,74.0,76.0,72.0,71.0,61.0
63,16.0,20.0,69.0,64.0,64.0,75.0,65.0,73.0,75.0,72.0,71.0,61.0
64,15.0,18.0,69.0,63.0,64.0,74.0,65.0,73.0,74.0,71.0,71.0,60.0
65,16.0,15.0,69.0,61.0,64.0,74.0,65.0,72.0,74.0,71.0,71.0,61.0
66,16.0,17.0,69.0,63.0,64.0,74.0,65.0,72.0,74.0,71.0,71.0,60.0
67,13.0,17.0,69.0,61.0,64.0,72.0,65.0,73.0,74.0,72.0,71.0,62.0
68,15.0,17.0,69.0,62.0,63.0,73.0,65.0,72.0,73.0,71.0,71.0,62.0
69,15.0,18.0,69.0,63.0,65.0,72.0,65.0,71.0,73.0,71.0,70.0,61.0
70,14.0,16.0,69.0,63.0,64.0,73.0,66.0,73.0,74.0,71.0,71.0,62.0
71,14.0,16.0,69.0,65.0,65.0,74.0,66.0,72.0,72.0,71.0,71.0,60.0
72,15.0,17.0,69.0,64.0,65.0,72.0,66.0,72.0,73.0,71.0,71.0,62.0
73,15.0,19.0,69.0,63.0,66.0,73.0,65.0,72.0,72.0,71.0,71.0,64.0
74,16.0,19.0,69.0,63.0,65.0,72.0,66.0,72.0,73.0,71.0,71.0,62.0
75,15.0,19.0,69.0,62.0,66.0,73.0,66.0,72.0,73.0,71.0,71.0,64.0
76,16.0,18.0,69.0,62.0,65.0,73.0,66.0,72.0,72.0,71.0,71.0,62.0
77,16.0,19.0,69.0,63.0,65.0,73.0,66.0,72.0,72.0,71.0,71.0,62.0
78,17.0,18.0,70.0,66.0,66.0,74.0,66.0,73.0,73.0,72.0,72.0,62.0
79,17.0,19.0,70.0,64.0,66.0,73.0,66.0,73.0,73.0,72.0,72.0,61.0
80,17.0,19.0,69.0,63.0,65.0,73.0,66.0,72.0,72.0,71.0,71.0,61.0
81,17.0,20.0,69.0,64.0,65.0,73.0,66.0,72.0,72.0,71.0,71.0,60.0
82,17.0,19.0,69.0,63.0,66.0,73.0,66.0,72.0,72.0,71.0,71.0,62.0
83,17.0,19.0,69.0,61.0,65.0,73.0,67.0,72.0,72.0,71.0,71.0,61.0
84,17.0,19.0,69.0,63.0,66.0,72.0,66.0,72.0,72.0,71.0,71.0,62.0
85,17.0,19.0,69.0,61.0,66.0,72.0,65.0,72.0,72.0,71.0,71.0,62.0
86,18.0,20.0,69.0,63.0,66.0,73.0,66.0,72.0,73.0,71.0,71.0,64.0
87,18.0,20.0,69.0,61.0,66.0,73.0,66.0,72.0,72.0,71.0,71.0,62.0
88,19.0,19.0,69.0,62.0,66.0,72.0,66.0,72.0,72.0,71.0,71.0,61.0
89,20.0,20.0,69.0,65.0,65.0,73.0,66.0,72.0,72.0,71.0,71.0,61.0
90,18.0,19.0,69.0,62.0,66.0,72.0,66.0,72.0,72.0,71.0,71.0,62.0
91,19.0,19.0,69.0,64.0,65.0,72.0,66.0,71.0,72.0,71.0,71.0,61.0
92,19.0,21.0,69.0,64.0,66.0,72.0,67.0,71.0,72.0,71.0,71.0,60.0
93,18.0,21.0,69.0,63.0,66.0,72.0,66.0,71.0,72.0,71.0,71.0,62.0
94,19.0,20.0,69.0,62.0,66.0,73.0,66.0,71.0,72.0,71.0,71.0,62.0
95,19.0,20.0,69.0,63.0,67.0,73.0,66.0,71.0,72.0,71.0,71.0,62.0
96,19.0,19.0,69.0,61.0,66.0,73.0,66.0,72.0,72.0,71.0,71.0,62.0
97,19.0,20.0,69.0,62.0,67.0,73.0,66.0,72.0,72.0,71.0,71.0,63.0
98,19.0,21.0,69.0,63.0,66.0,73.0,66.0,72.0,72.0,71.0,71.0,61.0
99,19.0,21.0,69.0,63.0,66.0,73.0,67.0,72.0,73.0,71.0,71.0,66.0
100,20.0,20.0,69.0,65.0,66.0,73.0,66.0,72.0,72.0,71.0,72.0,65.0
101,19.0,20.0,69.0,64.0,66.0,72.0,67.0,71.0,72.0,71.0,71.0,60.0
102,20.0,20.0,69.0,63.0,66.0,72.0,66.0,71.0,72.0,71.0,71.0,61.0
103,19.0,20.0,69.0,64.0,66.0,72.0,66.0,71.0,72.0,71.0,71.0,60.0
104,19.0,20.0,69.0,63.0,66.0,73.0,66.0,71.0,72.0,71.0,71.0,62.0
105,21.0,22.0,69.0,62.0,66.0,73.0,66.0,71.0,73.0,71.0,71.0,62.0
106,19.0,21.0,69.0,63.0,67.0,73.0,66.0,71.0,72.0,71.0,71.0,62.0
107,19.0,21.0,69.0,61.0,66.0,72.0,66.0,71.0,72.0,71.0,71.0,62.0
108,19.0,20.0,69.0,62.0,66.0,73.0,67.0,72.0,72.0,71.0,71.0,63.0
109,19.0,20.0,69.0,63.0,67.0,73.0,66.0,72.0,73.0,71.0,71.0,62.0
110,21.0,20.0,69.0,63.0,66.0,73.0,67.0,72.0,72.0,71.0,71.0,64.0
111,19.0,22.0,69.0,63.0,66.0,73.0,66.0,72.0,72.0,71.0,71.0,61.0
112,19.0,23.0,69.0,64.0,66.0,73.0,67.0,72.0,73.0,71.0,71.0,61.0
113,19.0,21.0,69.0,64.0,67.0,73.0,67.0,72.0,74.0,72.0,71.0,62.0
114,22.0,22.0,70.0,62.0,67.0,73.0,67.0,73.0,73.0,72.0,72.0,61.0
115,21.0,20.0,69.0,62.0,66.0,72.0,66.0,71.0,72.0,71.0,71.0,61.0
116,20.0,20.0,69.0,63.0,66.0,72.0,66.0,71.0,72.0,72.0,72.0,61.0
117,19.0,21.0,69.0,63.0,66.0,72.0,66.0,72.0,72.0,71.0,71.0,61.0
118,19.0,21.0,69.0,64.0,66.0,72.0,66.0,71.0,72.0,71.0,71.0,60.0
119,20.0,21.0,69.0,64.0,67.0,72.0,67.0,71.0,72.0,71.0,71.0,62.0
120,21.0,21.0,70.0,65.0,68.0,74.0,68.0,71.0,72.0,71.0,71.0,63.0
121,20.0,20.0,70.0,64.0,68.0,74.0,68.0,72.0,73.0,72.0,71.0,62.0
122,23.0,21.0,70.0,64.0,67.0,73.0,67.0,72.0,73.0,72.0,72.0,64.0
123,17.0,21.0,69.0,63.0,67.0,73.0,67.0,72.0,72.0,71.0,71.0,64.0
124,22.0,22.0,69.0,63.0,67.0,73.0,67.0,72.0,72.0,71.0,71.0,61.0
125,20.0,22.0,69.0,61.0,67.0,73.0,66.0,71.0,72.0,71.0,71.0,60.0
126,21.0,20.0,69.0,62.0,66.0,72.0,66.0,71.0,73.0,71.0,71.0,61.0
127,23.0,20.0,69.0,62.0,67.0,73.0,67.0,72.0,73.0,71.0,71.0,60.0
128,21.0,21.0,70.0,64.0,68.0,74.0,69.0,73.0,74.0,73.0,72.0,62.0
129,20.0,22.0,69.0,63.0,66.0,73.0,66.0,72.0,72.0,71.0,71.0,60.0
130,21.0,22.0,70.0,65.0,67.0,73.0,68.0,72.0,73.0,72.0,72.0,62.0
131,21.0,22.0,70.0,65.0,68.0,74.0,68.0,73.0,74.0,72.0,72.0,63.0
132,21.0,21.0,70.0,64.0,68.0,73.0,68.0,73.0,73.0,72.0,71.0,62.0
133,21.0,21.0,70.0,64.0,67.0,73.0,67.0,72.0,73.0,72.0,71.0,63.0
134,21.0,21.0,70.0,61.0,67.0,73.0,68.0,73.0,73.0,72.0,72.0,63.0
135,21.0,22.0,69.0,63.0,68.0,74.0,68.0,73.0,74.0,73.0,73.0,63.0
136,21.0,22.0,69.0,61.0,67.0,73.0,67.0,71.0,72.0,71.0,71.0,61.0
