,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,3498.526199,107.0,106.0,108.0,106.0,106.0
2,2.0,3513.383825,103.0,105.0,106.0,105.0,109.0
3,3.0,3528.369895,106.0,105.0,102.0,107.0,108.0
4,4.0,3543.412795,106.0,104.0,105.0,103.0,107.0
5,5.0,3558.390943,106.0,105.0,105.0,102.0,105.0
6,6.0,3573.397688,106.0,104.0,108.0,105.0,105.0
7,7.0,3588.366909,104.0,104.0,106.0,107.0,103.0
8,8.0,3.38487,103.0,106.0,104.0,105.0,106.0
9,9.0,18.394058,105.0,103.0,107.0,108.0,105.0
10,10.0,33.392233,105.0,106.0,106.0,105.0,104.0
11,11.0,48.408708,105.0,105.0,106.0,105.0,106.0
12,12.0,63.370123,104.0,107.0,106.0,104.0,103.0
13,13.0,78.392404,106.0,104.0,105.0,105.0,106.0
14,14.0,93.346995,102.0,104.0,104.0,107.0,107.0
15,15.0,108.441343,104.0,106.0,106.0,105.0,104.0
16,16.0,123.475438,106.0,106.0,107.0,106.0,107.0
17,17.0,138.378268,107.0,107.0,107.0,105.0,104.0
18,18.0,153.418139,103.0,106.0,105.0,106.0,104.0
19,19.0,168.411911,107.0,109.0,107.0,104.0,106.0
20,20.0,183.384853,106.0,105.0,107.0,106.0,104.0
21,21.0,198.378663,106.0,107.0,106.0,107.0,104.0
22,22.0,213.356532,107.0,106.0,104.0,105.0,102.0
23,23.0,228.394216,105.0,103.0,107.0,105.0,105.0
24,24.0,243.382261,104.0,107.0,105.0,104.0,106.0
25,25.0,258.362516,104.0,104.0,105.0,104.0,107.0
26,26.0,273.359803,104.0,105.0,106.0,105.0,105.0
27,27.0,288.364956,105.0,106.0,104.0,103.0,105.0
28,28.0,303.403759,104.0,105.0,106.0,105.0,106.0
29,29.0,318.384614,106.0,104.0,103.0,105.0,101.0
30,30.0,333.361698,107.0,103.0,106.0,104.0,104.0
31,31.0,348.357049,105.0,102.0,103.0,102.0,104.0
32,32.0,363.38564,107.0,103.0,105.0,104.0,105.0
33,33.0,378.417841,105.0,103.0,106.0,105.0,102.0
34,34.0,393.418998,103.0,107.0,104.0,103.0,106.0
35,35.0,408.372974,104.0,104.0,105.0,103.0,104.0
36,36.0,423.395554,101.0,104.0,106.0,106.0,103.0
37,37.0,438.39116,105.0,107.0,105.0,105.0,107.0
38,38.0,453.429749,104.0,105.0,104.0,105.0,101.0
39,39.0,468.388846,102.0,104.0,105.0,104.0,107.0
40,40.0,483.424069,100.0,104.0,104.0,103.0,105.0
41,41.0,498.432435,106.0,104.0,104.0,105.0,105.0
42,42.0,513.38005,104.0,106.0,105.0,106.0,104.0
43,43.0,528.341906,107.0,106.0,105.0,102.0,106.0
44,44.0,543.378547,106.0,105.0,105.0,105.0,103.0
45,45.0,558.359345,105.0,105.0,102.0,107.0,108.0
46,46.0,573.37773,107.0,104.0,106.0,104.0,104.0
47,47.0,588.373573,106.0,105.0,107.0,103.0,107.0
48,48.0,603.311482,104.0,104.0,104.0,106.0,107.0
49,49.0,618.396804,103.0,105.0,107.0,104.0,105.0
