,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,2127.068873,121.0,119.0,116.0,121.0,120.0
2,2.0,2149.099723,114.0,118.0,122.0,120.0,120.0
3,3.0,2171.078877,116.0,118.0,115.0,116.0,119.0
4,4.0,2193.032466,117.0,115.0,118.0,115.0,115.0
5,5.0,2215.071987,115.0,113.0,113.0,118.0,118.0
6,6.0,2237.068025,113.0,111.0,114.0,114.0,111.0
7,7.0,2259.094483,111.0,109.0,112.0,115.0,115.0
8,8.0,2281.064443,111.0,112.0,112.0,107.0,110.0
9,9.0,2303.075448,108.0,107.0,109.0,108.0,110.0
10,10.0,2325.064585,109.0,106.0,107.0,105.0,108.0
11,11.0,2347.050418,110.0,109.0,110.0,109.0,106.0
12,12.0,2369.038978,105.0,105.0,109.0,112.0,105.0
13,13.0,2391.055778,106.0,110.0,109.0,109.0,113.0
14,14.0,2413.040099,110.0,110.0,110.0,109.0,109.0
15,15.0,2435.052331,107.0,112.0,107.0,107.0,113.0
16,16.0,2457.104326,110.0,109.0,110.0,106.0,106.0
17,17.0,2479.040708,108.0,110.0,110.0,109.0,106.0
18,18.0,2501.070604,107.0,107.0,107.0,107.0,110.0
19,19.0,2523.072152,108.0,113.0,111.0,109.0,110.0
20,20.0,2545.037536,108.0,112.0,109.0,107.0,108.0
21,21.0,2567.040578,108.0,108.0,107.0,106.0,109.0
22,22.0,2589.053849,111.0,112.0,108.0,110.0,108.0
23,23.0,2611.040791,108.0,109.0,108.0,109.0,107.0
24,24.0,2633.068356,111.0,107.0,107.0,109.0,107.0
25,25.0,2655.03643,108.0,110.0,112.0,110.0,108.0
26,26.0,2677.08928,109.0,109.0,112.0,111.0,111.0
27,27.0,2699.030809,105.0,109.0,108.0,106.0,109.0
28,28.0,2721.056078,110.0,109.0,106.0,109.0,104.0
29,29.0,2743.076066,109.0,110.0,108.0,108.0,110.0
30,30.0,2765.043075,107.0,110.0,108.0,105.0,109.0
31,31.0,2787.041899,108.0,112.0,110.0,107.0,108.0
32,32.0,2809.075045,109.0,109.0,109.0,110.0,111.0
33,33.0,2831.044757,105.0,108.0,107.0,107.0,109.0
34,34.0,2853.039897,110.0,110.0,107.0,107.0,107.0
35,35.0,2875.054908,108.0,108.0,108.0,108.0,111.0
36,36.0,2897.040622,107.0,108.0,109.0,107.0,107.0
37,37.0,2919.049125,109.0,107.0,105.0,106.0,109.0
38,38.0,2941.037389,108.0,109.0,111.0,106.0,112.0
39,39.0,2963.081676,108.0,108.0,108.0,107.0,109.0
40,40.0,2985.059422,109.0,103.0,107.0,106.0,107.0
41,41.0,3007.052792,106.0,109.0,110.0,106.0,108.0
42,42.0,3029.035107,110.0,109.0,107.0,108.0,112.0
43,43.0,3051.037884,107.0,111.0,106.0,106.0,105.0
44,44.0,3073.041997,108.0,104.0,108.0,107.0,106.0
45,45.0,3095.038508,108.0,104.0,107.0,106.0,107.0
46,46.0,3117.051986,108.0,107.0,108.0,107.0,106.0
47,47.0,3139.046489,105.0,104.0,106.0,108.0,109.0
48,48.0,3161.05713,107.0,106.0,104.0,108.0,107.0
49,49.0,3183.045084,109.0,110.0,107.0,110.0,109.0
50,50.0,3205.075352,105.0,108.0,105.0,106.0,107.0
