,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,849.60711,30.0,253.0,116.0,63.0,64.0,64.0,64.0,63.0,63.0,64.0,62.0,63.0,63.0
2,849.714485,30.0,253.0,115.0,62.0,63.0,63.0,63.0,62.0,62.0,63.0,61.0,62.0,62.0
3,850.715146,30.0,253.0,116.0,62.0,62.0,63.0,63.0,62.0,62.0,63.0,61.0,62.0,62.0
4,851.715078,30.0,253.0,116.0,62.0,63.0,63.0,63.0,62.0,62.0,63.0,62.0,62.0,62.0
5,852.714298,30.0,253.0,116.0,62.0,62.0,63.0,63.0,62.0,62.0,64.0,61.0,62.0,62.0
6,853.715092,30.0,253.0,115.0,62.0,63.0,62.0,63.0,63.0,62.0,63.0,61.0,62.0,62.0
7,854.715079,30.0,253.0,116.0,62.0,62.0,62.0,63.0,62.0,62.0,63.0,61.0,62.0,61.0
8,855.715137,30.0,254.0,116.0,62.0,62.0,63.0,63.0,62.0,62.0,63.0,61.0,62.0,61.0
9,856.716319,30.0,253.0,116.0,62.0,62.0,62.0,63.0,62.0,62.0,63.0,62.0,62.0,62.0
10,857.71514,37.0,253.0,115.0,62.0,62.0,63.0,62.0,62.0,62.0,63.0,62.0,62.0,62.0
11,858.715147,37.0,253.0,116.0,62.0,62.0,62.0,63.0,62.0,62.0,63.0,61.0,62.0,61.0
12,859.715069,37.0,253.0,116.0,62.0,62.0,62.0,63.0,62.0,61.0,63.0,61.0,62.0,62.0
13,860.715069,37.0,253.0,116.0,61.0,62.0,62.0,63.0,62.0,62.0,63.0,61.0,62.0,62.0
14,861.715105,37.0,253.0,115.0,62.0,63.0,63.0,63.0,62.0,62.0,63.0,61.0,62.0,62.0
15,862.715094,37.0,253.0,116.0,62.0,62.0,62.0,63.0,62.0,62.0,63.0,61.0,62.0,61.0
16,863.71508,37.0,253.0,116.0,62.0,62.0,62.0,63.0,62.0,62.0,63.0,61.0,62.0,62.0
