,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0,0,0,0,0,0,0
1,1,2402.865153,98,96,99,99,98
2,2,2417.79143,95,95,95,95,96
3,3,2432.806561,93,89,92,94,93
4,4,2447.771424,88,89,87,87,90
5,5,2462.816453,84,86,87,84,85
6,6,2477.791757,84,86,83,84,85
7,7,2492.793756,82,81,82,84,80
8,8,2507.787025,80,83,78,82,81
9,9,2522.790321,76,77,80,80,77
10,10,2537.797673,78,78,77,78,77
11,11,2552.809926,76,75,75,76,75
12,12,2567.787513,75,72,73,70,73
13,13,2582.800887,73,69,72,74,73
14,14,2597.800972,73,75,70,72,71
15,15,2612.774937,70,71,71,70,69
16,16,2627.789294,72,70,70,71,70
17,17,2642.775235,68,69,67,71,70
18,18,2657.818233,71,68,67,68,68
19,19,2672.794471,68,69,69,67,70
20,20,2687.800112,66,69,67,67,68
21,21,2702.794733,68,68,70,70,68
22,22,2717.776263,68,67,67,68,69
23,23,2732.809795,68,67,70,69,69
24,24,2747.789146,67,67,68,69,66
25,25,2762.815648,69,67,68,67,68
26,26,2777.785613,70,68,67,67,67
27,27,2792.783477,67,67,67,68,68
28,28,2807.794399,68,66,66,67,68
29,29,2822.777656,66,68,68,68,69
30,30,2837.787985,67,66,66,68,67
31,31,2852.77417,67,68,66,67,68
32,32,2867.779769,66,69,68,67,69
33,33,2882.788294,65,67,68,65,68
34,34,2897.846316,69,68,68,67,65
35,35,2912.78274,68,67,66,64,67
36,36,2927.784157,65,65,68,67,70
37,37,2942.818837,67,65,66,68,66
38,38,2957.799967,69,66,66,68,67
39,39,2972.780491,68,66,70,65,66
40,40,2987.812007,68,66,68,67,69
41,41,3002.78596,68,67,68,65,68
42,42,3017.783185,67,68,67,66,66
43,43,3032.816414,67,68,68,69,69
44,44,3047.777355,66,67,70,65,65
45,45,3062.80436,68,67,68,67,67
46,46,3062.80436,68,67,68,65,68
47,47,3062.80436,67,68,67,66,66
48,48,3062.80436,67,68,68,69,69
49,49,3062.80436,66,67,70,65,65
50,50,3062.80436,68,67,68,67,67
