,0,1,2,3,4,5,6,7,8,9,10,11,12,13,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,2272.130569,30,242,135,58,57,58,58,58,57,58,57,57,57,16.6015625,1.261682243
2,2275.424384,30,241,135,57,57,57,58,57,57,58,56,57,57,14.16015625,1.273584906
3,2276.155895,30,241,135,57,58,57,58,58,57,58,56,57,57,14.16015625,1.273584906
4,2277.456309,30,241,135,57,57,58,58,57,57,58,56,57,57,14.16015625,1.273584906
5,2278.434633,30,241,135,57,58,58,58,57,57,58,56,57,57,14.16015625,1.273584906
6,2279.319711,30,241,135,57,57,58,58,58,57,58,57,57,57,14.16015625,1.273584906
7,2280.436473,30,242,135,57,57,58,58,57,57,58,57,57,57,14.16015625,1.261682243
8,2281.422067,30,241,135,57,57,57,58,57,57,58,56,57,57,14.16015625,1.273584906
9,2282.270681,30,242,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.261682243
10,2283.411361,32,242,135,57,57,57,58,58,57,58,56,57,57,14.16015625,1.261682243
11,2284.413001,32,241,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.273584906
12,2285.356829,32,242,135,57,57,58,58,58,57,58,57,57,57,14.16015625,1.261682243
13,2286.161476,32,241,135,57,58,58,58,58,57,58,57,57,57,14.16015625,1.273584906
14,2287.51354,32,241,135,57,58,58,58,58,57,58,57,57,57,14.16015625,1.273584906
15,2288.496964,32,242,135,57,57,57,58,57,57,58,56,57,57,14.16015625,1.261682243
16,2289.385591,32,242,135,57,58,58,58,58,57,58,56,57,57,14.16015625,1.261682243
17,2290.38764,32,242,135,57,57,57,58,57,57,58,56,57,57,14.16015625,1.261682243
18,2291.446279,32,242,135,57,58,58,58,57,57,58,56,57,57,14.16015625,1.261682243
19,2292.496998,32,241,135,57,57,58,58,58,57,57,56,57,57,14.16015625,1.273584906
20,2293.297599,34,241,135,58,58,58,58,58,57,58,57,57,57,16.6015625,1.273584906
21,2294.452895,34,241,135,57,57,58,58,58,57,57,56,57,57,14.16015625,1.273584906
22,2295.437943,34,242,135,57,57,57,58,58,57,58,56,57,57,14.16015625,1.261682243
23,2296.351389,34,242,135,57,57,57,58,58,57,58,56,57,57,14.16015625,1.261682243
24,2297.4263,34,241,135,57,57,57,58,58,57,58,56,57,57,14.16015625,1.273584906
25,2298.448539,34,242,135,57,58,58,58,57,57,58,56,57,57,14.16015625,1.261682243
26,2299.405306,34,241,135,57,57,58,58,58,57,58,57,57,57,14.16015625,1.273584906
27,2300.293231,34,241,135,57,58,58,58,58,57,58,57,57,57,14.16015625,1.273584906
28,2301.456933,34,242,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.261682243
29,2302.521526,34,242,135,58,58,58,58,58,57,58,57,57,57,16.6015625,1.261682243
30,2303.422688,36,241,135,57,57,57,58,58,56,58,56,57,57,14.16015625,1.273584906
31,2304.488201,36,242,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.261682243
32,2305.461624,36,241,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.273584906
33,2306.370193,36,242,135,57,57,57,57,57,57,58,56,57,57,14.16015625,1.261682243
34,2307.446559,36,242,135,57,57,57,58,58,57,58,56,57,57,14.16015625,1.261682243
35,2308.44783,36,241,135,57,57,57,58,57,57,57,56,57,57,14.16015625,1.273584906
36,2309.337817,36,242,135,57,57,57,58,58,57,58,56,57,57,14.16015625,1.261682243
37,2310.445966,36,242,135,57,57,57,58,57,57,58,56,57,57,14.16015625,1.261682243
38,2311.490622,36,242,135,58,57,57,58,57,57,58,56,57,57,16.6015625,1.261682243
39,2312.252882,36,242,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.261682243
40,2313.424503,38,242,135,57,57,58,58,58,57,58,57,57,57,14.16015625,1.261682243
41,2314.414538,38,242,134,58,58,57,58,58,57,58,56,57,57,16.6015625,1.240740741
42,2315.36623,38,241,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.273584906
43,2316.425536,38,241,135,57,57,57,58,57,57,58,56,57,57,14.16015625,1.273584906
44,2317.55488,38,241,135,58,58,58,58,58,57,58,57,57,57,16.6015625,1.273584906
45,2318.499527,38,242,135,57,57,57,58,57,57,58,56,57,57,14.16015625,1.261682243
46,2319.441828,38,241,135,57,58,58,58,58,57,58,57,57,57,14.16015625,1.273584906
47,2320.450723,38,242,135,57,57,58,58,57,57,58,56,57,57,14.16015625,1.261682243
48,2321.456244,38,241,135,57,57,57,58,58,57,58,56,57,57,14.16015625,1.273584906
49,2322.299402,38,241,135,57,57,58,58,58,57,58,57,57,57,14.16015625,1.273584906
50,2323.448542,40,242,135,58,58,58,58,57,57,58,57,57,57,16.6015625,1.261682243
51,2324.425194,40,242,135,57,57,58,58,57,57,58,56,57,57,14.16015625,1.261682243
52,2325.352419,40,241,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.273584906
53,2326.43674,40,242,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.261682243
54,2327.451801,40,242,135,57,58,57,58,57,57,58,56,57,57,14.16015625,1.261682243
55,2328.407777,40,242,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.261682243
56,2329.448856,40,241,135,57,57,58,58,58,57,58,56,57,57,14.16015625,1.273584906
57,2330.435494,40,242,135,58,57,57,58,57,57,58,56,57,57,16.6015625,1.261682243
58,2331.424828,40,242,135,57,58,58,58,58,57,58,57,57,57,14.16015625,1.261682243
59,2332.588034,40,241,134,58,58,58,58,58,57,58,57,57,57,16.6015625,1.252336449
60,2333.512589,42,242,135,57,57,58,58,57,57,58,56,57,57,14.16015625,1.261682243
61,2334.478173,42,242,135,57,57,57,58,58,57,58,56,57,57,14.16015625,1.261682243
62,2335.372187,42,242,135,57,57,58,58,58,57,58,57,57,57,14.16015625,1.261682243
63,2336.450437,42,242,135,57,57,58,58,57,57,58,56,57,57,14.16015625,1.261682243
64,2337.454784,42,242,135,58,58,58,58,58,57,58,56,57,57,16.6015625,1.261682243
