,0,1,7,
199,2408.018302,68,63,62
200,2409.859767,70,62,61
201,2410.980052,70,62,61
202,2413.094814,70,63,62
203,2414.919345,70,63,62
204,2415.982098,70,63,62
205,2417.869701,70,63,62
206,2418.959292,70,63,62
207,2420.95605,70,63,62
208,2423.049296,70,63,62
209,2424.905506,70,63,62
210,2426.028772,72,63,62
211,2428.003152,72,63,62
212,2429.871745,72,64,63
213,2430.967337,72,64,63
214,2432.877571,72,63,62
215,2433.916775,72,63,62
216,2434.943613,72,63,62
217,2436.870845,72,64,63
218,2437.990898,72,63,62
219,2440.015197,72,64,63
220,2441.834314,74,64,63
221,2442.832853,74,64,63
222,2443.850552,74,64,63
223,2444.888107,74,64,63
224,2445.806195,74,63,62
225,2446.586997,74,63,62
226,2447.661694,74,63,62
227,2448.658948,74,64,63
228,2449.686129,74,65,64
229,2450.883996,74,64,63
230,2451.80449,76,64,63
231,2452.972359,76,64,63
232,2454.897577,76,64,63
233,2455.8349,76,64,63
234,2456.825371,76,64,63
235,2457.787642,76,64,63
236,2458.640016,76,64,63
237,2459.711869,76,64,63
238,2460.73976,76,64,63
239,2461.698535,76,64,63
240,2462.845617,78,64,63
241,2463.879994,78,65,64
242,2464.911362,78,65,64
243,2465.824372,78,65,64
244,2466.925966,78,66,65
245,2468.933243,78,65,64
246,2470.905018,78,65,64
247,2471.795242,78,65,64
248,2472.773699,78,65,64
249,2473.851123,78,65,64
250,2474.856794,80,66,65
251,2475.934627,80,65,64
252,2477.752877,80,65,64
253,2478.773527,80,65,64
254,2479.720305,80,66,65
255,2480.819043,80,65,64
256,2481.845927,80,66,65
257,2482.963895,80,66,65
258,2484.802476,80,65,64
259,2485.950044,80,66,65
260,2487.878646,82,66,65
261,2488.938765,82,66,65
262,2490.862539,82,66,65
263,2491.894503,82,66,65
264,2492.851534,82,66,65
265,2493.890283,82,66,65
266,2494.797926,82,65,64
267,2495.824006,82,66,65
268,2496.931086,82,67,66
269,2498.926428,82,66,65
270,2500.873728,84,67,66
271,2501.982749,84,66,65
272,2503.86805,84,66,65
273,2504.791175,84,66,65
274,2505.904775,84,67,66
275,2506.813577,84,67,66
276,2507.905507,84,66,65
277,2508.693783,84,66,65
278,2509.684781,84,66,65
279,2510.61221,84,66,65
280,2511.686973,86,67,66
281,2513.023172,86,67,66
282,2515.091817,86,67,66
283,2516.855549,86,67,66
284,2517.834967,86,66,65
285,2518.798534,86,68,67
286,2519.924658,86,67,66
287,2522.010198,86,67,66
288,2523.942955,86,67,66
289,2525.936203,86,68,67
290,2528.575734,88,68,67
291,2530.07497,88,68,67
292,2532.138613,88,68,67
293,2534.053493,88,68,67
294,2536.119576,88,68,67
295,2537.91324,88,68,67
296,2539.100769,88,68,67
297,2541.109763,88,68,67
298,2543.29379,88,68,67
299,2545.070044,88,68,67
300,2547.088731,90,69,68
301,2548.987278,90,68,67
302,2550.854439,90,68,67
303,2551.857735,90,68,67
304,2552.863477,90,69,68
305,2554.045325,90,69,68
306,2555.887508,90,68,67
307,2557.01705,90,69,68
308,2558.904948,90,68,67
309,2559.992225,90,69,68
310,2562.016225,92,69,68
311,2563.854864,92,69,68
312,2564.886649,92,68,67
313,2565.917527,92,69,68
314,2566.998737,92,69,68
315,2568.886576,92,69,68
316,2569.675,92,68,67
317,2570.701178,92,68,67
318,2571.714745,92,69,68
319,2572.820951,92,69,68
320,2573.644575,94,68,67
321,2574.711338,94,69,68
322,2575.691369,94,69,68
323,2576.571242,94,69,68
324,2577.761998,94,69,68
325,2578.860343,94,70,69
326,2579.884532,94,69,68
327,2580.868732,94,70,69
328,2581.911237,94,70,69
329,2582.814849,94,69,68
330,2583.839087,96,70,69
331,2584.777441,96,69,68
332,2585.788122,96,69,68
333,2586.822987,96,70,69
334,2587.925163,96,70,69
335,2589.778525,96,70,69
336,2590.861075,96,70,69
337,2591.781154,96,70,69
338,2592.789688,96,70,69
339,2593.924016,96,70,69
340,2595.768021,98,70,69
341,2596.79146,98,70,69
342,2597.77376,98,70,69
343,2598.734685,98,70,69
344,2599.886751,98,70,69
345,2600.853743,98,70,69
346,2601.852754,98,71,70
347,2602.952899,98,71,70
348,2604.856202,98,71,70
349,2605.873865,98,70,69
350,2606.869527,100,70,69
351,2607.81165,100,71,70
352,2608.807333,100,70,69
353,2609.783991,100,71,70
354,2610.855089,100,71,70
355,2611.815152,100,71,70
356,2612.854645,100,71,70
357,2613.786503,100,71,70
358,2614.743278,100,71,70
359,2615.715037,100,71,70
360,2616.902315,102,72,71
361,2617.952759,102,71,70
