,0,1
0,0.0,0.0
1,1.0,30.4
2,2.0,30.0
3,3.0,29.8
4,4.0,29.8
5,5.0,29.6
6,6.0,30.0
7,7.0,30.6
8,8.0,29.8
9,9.0,29.2
10,10.0,30.4
11,11.0,30.4
12,12.0,21.0
13,13.0,31.4
14,14.0,31.8
15,15.0,32.0
16,16.0,31.6
17,17.0,32.2
18,18.0,33.0
19,19.0,32.6
20,20.0,32.8
21,21.0,33.8
22,22.0,34.0
23,23.0,35.6
24,24.0,34.6
25,25.0,35.2
26,26.0,34.4
27,27.0,36.6
28,28.0,34.8
29,29.0,36.4
30,30.0,37.2
31,31.0,37.4
32,32.0,36.8
33,33.0,38.0
34,34.0,39.0
35,35.0,39.2
36,36.0,40.0
37,37.0,41.6
38,38.0,40.4
39,39.0,41.2
40,40.0,41.6
41,41.0,41.4
42,42.0,42.4
43,43.0,43.2
44,44.0,43.4
45,45.0,44.6
46,46.0,46.2
47,47.0,44.4
48,48.0,45.8
49,49.0,45.2
50,50.0,47.4
51,51.0,48.6
52,52.0,47.2
53,53.0,48.6
54,54.0,49.0
55,55.0,49.4
56,56.0,50.6
57,57.0,50.0
58,58.0,51.8
59,59.0,52.0
60,60.0,51.6
61,61.0,52.6
62,62.0,53.0
63,63.0,53.6
64,64.0,54.8
65,65.0,54.6
66,66.0,55.2
67,67.0,56.2
68,68.0,55.4
69,69.0,56.6
70,70.0,57.2
71,71.0,57.0
72,72.0,57.6
73,73.0,58.2
74,74.0,59.6
75,75.0,59.4
76,76.0,59.8
77,77.0,59.4
78,78.0,61.2
79,79.0,61.4
80,80.0,60.6
81,81.0,61.4
82,82.0,61.6
83,83.0,62.8
84,84.0,63.2
85,85.0,64.4
86,86.0,63.8
87,87.0,64.4
88,88.0,65.6
89,89.0,65.0
90,90.0,64.6
91,91.0,65.2
92,92.0,65.8
93,93.0,66.4
94,94.0,65.6
95,95.0,66.6
96,96.0,66.0
97,97.0,67.0
98,98.0,68.0
99,99.0,67.2
100,100.0,67.4
101,101.0,67.6
102,102.0,69.2
103,103.0,69.0
104,104.0,68.4
105,105.0,70.2
106,106.0,69.4
107,107.0,70.4
108,108.0,69.6
109,109.0,70.4
110,110.0,70.6
111,111.0,70.2
112,112.0,71.2
113,113.0,71.4
114,114.0,71.2
115,115.0,70.6
116,116.0,72.2
117,117.0,72.0
118,118.0,72.0
119,119.0,72.6
120,120.0,72.2
121,121.0,73.2
122,122.0,73.0
123,123.0,72.8
124,124.0,72.8
125,125.0,73.8
126,126.0,73.8
127,127.0,73.2
128,128.0,73.4
129,129.0,73.0
130,130.0,75.0
131,131.0,73.8
132,132.0,74.6
133,133.0,74.4
134,134.0,75.2
135,135.0,74.6
136,136.0,74.2
137,137.0,75.4
138,138.0,75.2
139,139.0,74.8
140,140.0,75.4
141,141.0,74.6
142,142.0,75.0
143,143.0,75.8
144,144.0,76.0
145,145.0,75.6
146,146.0,74.8
147,147.0,76.2
148,148.0,75.2
149,149.0,76.4
150,150.0,76.4
151,151.0,75.8
152,152.0,76.4
153,153.0,76.4
154,154.0,76.0
155,155.0,76.2
156,156.0,77.0
157,157.0,76.0
158,158.0,76.6
159,159.0,76.6
160,160.0,76.4
161,161.0,77.2
162,162.0,76.8
163,163.0,77.0
164,164.0,77.0
165,165.0,78.0
166,166.0,78.2
167,167.0,77.8
168,168.0,76.8
