,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0,0,0,0,0,0,0
1,1,1461.57679,104,105,103,103,103
2,2,1483.541021,102,104,102,105,103
3,3,1505.560901,103,101,99,102,102
4,4,1527.540737,99,99,100,101,102
5,5,1549.563611,102,101,101,100,102
6,6,1571.567931,98,98,103,101,99
7,7,1593.605742,94,98,97,96,96
8,8,1615.538072,95,94,95,93,96
9,9,1637.5341,90,94,91,91,95
10,10,1659.558427,89,89,91,90,92
11,11,1681.531413,87,86,87,87,88
12,12,1703.533425,84,85,88,85,87
13,13,1725.558532,85,84,85,84,83
14,14,1747.531233,83,84,81,85,81
15,15,1769.533218,80,81,81,82,82
16,16,1791.53454,83,81,82,82,82
17,17,1813.588907,82,82,83,83,82
18,18,1835.555853,82,81,80,79,79
19,19,1857.546987,78,80,78,79,78
20,20,1879.557206,79,80,80,78,81
21,21,1901.527961,79,78,77,79,79
22,22,1923.538102,79,79,77,80,79
23,23,1945.544302,78,76,76,78,75
24,24,1967.545216,76,75,74,76,76
25,25,1989.539825,78,74,78,74,76
26,26,2011.525417,76,76,76,75,76
27,27,2033.536321,74,73,74,75,75
28,28,2055.538902,75,74,76,77,74
29,29,2077.535976,76,75,74,76,78
30,30,2099.53863,75,75,74,79,75
31,31,2121.588415,76,76,76,73,73
32,32,2143.549858,74,76,75,74,78
33,33,2165.553212,78,75,72,73,77
34,34,2187.537554,75,76,77,77,74
35,35,2209.579656,76,76,76,74,74
36,36,2231.550981,77,75,75,75,77
37,37,2253.542988,76,76,75,73,74
38,38,2275.569725,77,74,74,73,76
39,39,2297.546022,75,73,75,74,75
40,40,2319.530342,74,77,78,74,75
41,41,2341.538366,74,73,76,75,79
42,42,2363.533033,76,75,75,77,75
43,43,2385.569271,76,75,75,73,74
44,44,2407.529591,76,75,76,75,74
45,45,2429.537665,74,73,75,73,75
46,46,2451.595016,74,75,75,74,73
47,47,2473.533183,77,77,73,73,73
48,48,2495.540378,74,77,75,74,71
49,49,2517.571529,76,74,73,77,75
50,50,2537.571529,76,74,73,77,75
