,Cycle No.,time (ms),Sample 1 (mm),Sample 2 (mm),Sample 3 (mm),Sample 4 (mm),Sample 5 (mm)
0,0,0,0,0,0,0,0
1,1,3237.279811,101,102,102,101,103
2,2,3252.243093,99,96,99,97,97
3,3,3267.277232,95,96,94,95,97
4,4,3282.26548,91,91,93,93,90
5,5,3297.250426,89,88,89,90,90
6,6,3312.261825,85,86,87,85,86
7,7,3327.243716,82,83,84,81,83
8,8,3342.247213,79,82,80,81,80
9,9,3357.266569,81,78,78,81,80
10,10,3372.265933,78,80,81,77,80
11,11,3387.268482,77,78,79,80,77
12,12,3402.244575,77,76,78,77,77
13,13,3417.272271,77,75,78,72,74
14,14,3432.248355,75,73,75,76,75
15,15,3447.247084,75,73,73,73,73
16,16,3462.260353,76,72,76,74,75
17,17,3477.257096,74,74,76,73,74
18,18,3492.278874,73,73,72,73,73
19,19,3507.258914,71,70,69,71,73
20,20,3522.310787,74,73,71,73,71
21,21,3537.287012,72,73,71,74,72
22,22,3552.273518,74,72,74,72,73
23,23,3567.27517,71,72,71,71,73
24,24,3582.246931,73,73,73,73,72
25,25,3597.24128,71,72,73,71,73
26,26,12.258009,72,73,72,75,73
27,27,27.26849,70,69,72,73,72
28,28,42.24718,73,71,72,73,70
29,29,57.246928,70,72,74,70,71
30,30,72.247826,70,70,70,71,71
31,31,87.276207,71,72,69,70,71
32,32,102.241949,71,72,73,72,73
33,33,117.290014,68,70,73,69,70
34,34,132.254974,68,73,71,70,69
35,35,147.241265,69,72,72,71,70
36,36,162.251776,69,70,69,70,69
37,37,177.283497,71,70,68,72,69
38,38,192.267292,71,69,69,69,70
39,39,207.247407,70,71,72,69,71
40,40,222.33675,70,70,69,70,69
41,41,237.239103,70,70,71,70,71
42,42,252.28192,71,72,69,71,72
43,43,267.245434,71,72,72,72,70
44,44,282.256405,72,70,70,70,70
45,45,297.319678,70,72,70,69,71
46,46,312.250246,71,66,71,69,70
47,47,327.302563,70,70,70,70,69
48,48,342.267846,70,71,73,72,70
49,49,357.239451,69,70,70,70,69
50,50,372.278507,70,70,70,71,69
51,51,387.255254,71,71,70,72,69
52,52,402.257451,69,71,71,71,72
53,53,417.24911,67,69,71,70,72
54,54,432.275552,69,71,70,71,70
55,55,447.300263,70,70,69,72,71
56,56,462.24899,69,71,70,73,71
57,57,477.253076,69,69,70,73,71
58,58,492.243261,69,69,71,70,70
59,59,507.259676,69,71,68,69,69
60,60,522.257578,69,71,70,74,69
61,61,537.287142,69,70,70,69,69
62,62,552.270722,69,69,70,70,70
63,63,567.26334,68,70,69,72,70
