,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,8.0
8,5.0
9,6.0
10,6.0
11,6.0
12,5.0
13,5.0
14,5.0
15,15.0
16,15.0
17,15.0
18,15.0
19,15.0
20,15.0
21,22.0
22,26.0
23,29.0
24,28.0
25,28.0
26,29.0
27,39.0
28,41.0
29,41.0
30,41.0
31,41.0
32,41.0
33,48.0
34,48.0
35,49.0
36,49.0
37,49.0
38,51.0
39,59.0
40,63.0
41,64.0
42,65.0
43,63.0
44,63.0
45,71.0
46,74.0
47,72.0
48,74.0
49,74.0
50,73.0
51,75.0
52,75.0
53,83.0
54,85.0
55,86.0
56,86.0
57,86.0
58,85.0
59,86.0
60,99.0
61,98.0
62,103.0
63,108.0
64,112.0
65,105.0
66,106.0
67,104.0
68,104.0
69,108.0
70,129.0
71,133.0
72,138.0
73,135.0
74,135.0
75,135.0
76,133.0
77,135.0
78,151.0
79,153.0
80,155.0
81,157.0
82,158.0
83,153.0
84,156.0
85,139.0
86,173.0
87,173.0
88,177.0
89,182.0
90,181.0
91,180.0
92,168.0
93,158.0
94,164.0
95,166.0
96,167.0
97,166.0
98,168.0
99,167.0
100,164.0
101,122.0
102,127.0
103,145.0
104,136.0
105,143.0
106,150.0
107,148.0
108,141.0
109,136.0
110,102.0
111,113.0
112,112.0
113,116.0
114,119.0
115,118.0
116,117.0
117,107.0
118,86.0
119,95.0
120,96.0
121,96.0
122,95.0
123,95.0
124,87.0
125,79.0
126,79.0
127,79.0
128,80.0
129,82.0
130,88.0
131,63.0
132,72.0
133,68.0
134,70.0
135,70.0
136,69.0
137,67.0
138,50.0
139,50.0
140,54.0
141,51.0
142,48.0
143,54.0
144,55.0
145,42.0
146,49.0
147,42.0
148,43.0
149,43.0
150,42.0
151,50.0
152,31.0
153,31.0
154,34.0
155,33.0
156,34.0
157,33.0
158,33.0
159,16.0
160,20.0
161,18.0
162,19.0
163,19.0
164,19.0
165,20.0
166,5.0
167,6.0
168,8.0
169,7.0
170,8.0
171,7.0
172,8.0
173,7.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
