,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1921.721751,232.0,177.0,84.0,85.0,87.0,88.0,88.0,86.0,88.0,87.0,85.0,82.0
2,1921.747395,231.0,177.0,84.0,84.0,87.0,88.0,88.0,86.0,87.0,86.0,84.0,82.0
3,1921.871696,231.0,177.0,83.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
4,1921.996507,232.0,177.0,83.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
5,1922.121505,233.0,177.0,83.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
6,1922.246498,231.0,177.0,83.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
7,1922.37146,231.0,177.0,83.0,84.0,86.0,88.0,88.0,86.0,87.0,86.0,84.0,82.0
8,1922.49702,231.0,177.0,84.0,84.0,86.0,88.0,88.0,86.0,87.0,86.0,84.0,81.0
9,1922.621445,231.0,176.0,83.0,84.0,86.0,87.0,88.0,86.0,87.0,85.0,84.0,82.0
10,1922.746933,232.0,177.0,83.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,85.0,81.0
11,1922.871415,232.0,179.0,83.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,85.0,82.0
12,1922.99689,231.0,177.0,83.0,84.0,86.0,87.0,88.0,86.0,88.0,86.0,84.0,82.0
13,1923.121513,232.0,177.0,83.0,84.0,86.0,88.0,88.0,86.0,87.0,86.0,85.0,82.0
14,1923.246937,232.0,174.0,84.0,85.0,87.0,88.0,89.0,86.0,88.0,86.0,85.0,82.0
15,1923.371566,232.0,178.0,84.0,84.0,86.0,88.0,88.0,86.0,88.0,86.0,85.0,82.0
16,1923.496919,232.0,177.0,84.0,84.0,86.0,87.0,88.0,87.0,88.0,86.0,84.0,82.0
17,1923.621421,232.0,177.0,84.0,84.0,86.0,87.0,88.0,86.0,88.0,86.0,84.0,82.0
18,1923.746939,233.0,178.0,84.0,85.0,87.0,87.0,88.0,86.0,87.0,87.0,84.0,82.0
19,1923.871703,232.0,179.0,84.0,84.0,87.0,87.0,88.0,87.0,87.0,86.0,84.0,82.0
20,1923.996862,232.0,177.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,85.0,82.0
21,1924.121477,231.0,178.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
22,1924.24661,232.0,178.0,83.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
23,1924.371487,232.0,179.0,84.0,84.0,86.0,88.0,88.0,86.0,87.0,86.0,85.0,82.0
24,1924.496561,232.0,179.0,83.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,82.0
25,1924.621443,232.0,178.0,83.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
26,1924.746634,232.0,178.0,83.0,84.0,86.0,87.0,88.0,86.0,88.0,86.0,84.0,82.0
27,1924.870755,232.0,179.0,84.0,85.0,87.0,87.0,87.0,86.0,87.0,86.0,84.0,81.0
28,1924.996607,232.0,179.0,83.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
29,1925.1215,232.0,178.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,82.0
30,1925.246646,232.0,178.0,83.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
31,1925.371485,232.0,179.0,83.0,84.0,86.0,87.0,89.0,85.0,87.0,86.0,84.0,81.0
32,1925.496589,232.0,179.0,83.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
33,1925.621461,231.0,179.0,84.0,84.0,85.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
34,1925.746584,232.0,179.0,83.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,82.0
35,1925.871454,232.0,179.0,84.0,84.0,87.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
36,1925.996856,233.0,179.0,84.0,84.0,86.0,87.0,88.0,86.0,88.0,86.0,84.0,81.0
37,1926.121742,232.0,179.0,83.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
38,1926.246692,231.0,179.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
